stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,6.31,0,0,0,2.87,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,23.56,0,0,0,1.96,0,0,0,2.94,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,6.87,0,0.98,12.76,0.98,0,0.98,18.65,1.96,0,0,6.87,0,2.94,0.98,3.93,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,4.25,1.06,0,25.49,0,0,0,64.78,0,0,0,7.43,1.06,0,1.06,12.74,0,0,0,0
 96-106,1.09,0,0,0,1.09,2.19,1.09,3.28,0,2.19,40.44,2.19,0,0,41.53,3.28,1.09,1.09,8.74,0,2.19,2.19,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0.77,1.53,49.79,0.77,0,0,51.32,0,0,1.53,6.89,0.77,2.3,2.3,5.36,0.77,0.77,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,15.68,0,1.96,0,33.32,1.96,0,0,5.88,1.96,1.96,0,1.96,0,0,0,0
