stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,47,0,0,3,0,0,0,0,0,0,0,2,0,0,8,0,1,1,1,1,16,1,1,0,0
 24-34,0,0,0,45.97,0,1.64,4.1,0,0,0,0.82,0,0,0,3.28,0,2.46,13.95,0,0.82,0,0.82,0,0.82,0.82,2.46,0,0.82
 36-46,0,0,0.81,31.42,0,1.61,7.25,0,0,0,0,0,0,0,2.42,0,0,10.47,0.81,0,0,0,0,0.81,0,1.61,0,0.81
 48-58,0,0,0,24.67,0,1.72,3.44,0,0.57,0,0,0.57,0,0,2.3,0,0,8.61,0,0,0,0,0,1.15,0,1.15,0,0
 60-70,0,0,0,31.41,0,0.98,10.8,0.98,0,0,0.98,0,0,0.98,2.94,0,0,3.93,0,0.98,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0,34.36,0,5.89,5.89,0,0,0,0,0,0.98,0,1.96,0,0,7.85,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,55.23,0,2.12,13.81,0,2.12,8.5,0,1.06,0,0,1.06,0,0,5.31,0,0,0,1.06,0,3.19,0,0,3.19,1.06
 96-106,0,0,0,78.68,1.09,1.09,9.84,0,0,3.28,0,0,1.09,0,2.19,1.09,0,0,3.28,1.09,0,3.28,0,2.19,0,0,0,0
108-118,0,0,0,80.43,0,2.3,42.89,0,0.77,4.6,0.77,0,0,0.77,3.06,0,0,6.89,3.06,0,0,0.77,0,1.53,0,0,4.6,0.77
120,0,0,0,45.08,0,1.96,11.76,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0
