stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,4,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,1,2,4,3
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0.82,4.1,0,1.64,29.55,2.46,0,0,0,0,0,0,0,5.75,31.19
 36-46,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,1.61,6.45,0,1.61,29.81,1.61,0,0,0,0,0.81,0,0,8.86,27.39
 48-58,0,0,0,0,0,5.16,0.57,0,0,0.57,0,0,0,0,0,0,24.1,0,2.3,24.1,0,1.15,0,0,1.15,0,0,0,8.03,28.69
 60-70,0,0,1.96,0,0,6.87,0,0,0.98,0.98,0,0,0,0,2.94,0,23.56,0,1.96,33.37,0,0,0,3.93,0,0,0,0,7.85,20.61
 72-82,0,0,0.98,0,0,7.85,0,0.98,0,4.91,0,0,0,0,0,0,29.45,0,1.96,46.14,0,0,0,1.96,0,0,0,0,5.89,25.52
 84-94,0,0,0,0,0,7.43,0,0,0,1.06,0,0,0,0,6.37,0,16.99,0,3.19,23.36,1.06,0,0,1.06,0,0,0,0,5.31,19.12
 96-106,0,0,2.19,1.09,0,6.56,0,0,0,4.37,1.09,0,0,0,6.56,0,20.76,0,2.19,20.76,0,0,0,0,0,0,0,0,1.09,20.76
108-118,0,0,0,0,0.77,6.13,0,0,0,2.3,0,0,0,0.77,28.34,0,16.85,0,0,32.94,0,0,0,2.3,1.53,0,0,0,1.53,6.89
120,0,0,3.92,1.96,0,0,0,0,0,5.88,0,0,0,1.96,15.68,0,13.72,1.96,0,37.24,0,0,1.96,0,0,0,0,0,1.96,11.76
