stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,5.64,11.28,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,36.15,99.84,0,0.57,0,0,1.15,0,0,4.59,0,0,0,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,29.45,304.27,0,0,0,0,2.94,0,0,5.89,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,124.67,341.62,0,0,1.96,0,0.98,0,0,9.82,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,108.33,269.76,1.06,1.06,2.12,0,2.12,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,120.21,202.18,0,0,1.09,0,4.37,1.09,0,4.37,0,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0.77,77.36,149.36,0,0,0.77,0,0.77,0,0.77,7.66,0.77,0.77,0,0,0,0.77,0,0,0,0,0.77,0
120,0,0,1.96,86.23,115.63,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
