stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,2,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,1.64,13.13,0,0,0,0.82,0,0,4.93,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0.81,0,0,0,0,0,0,5.64,0.81,0,0,0,16.92,1.61,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0.57,6.89,0,1.15,0,2.87,0.57,0,0.57,0,0,0,2.3,7.46,0,0,0.57,22.95,0.57,0,0,0.57,0.57,0,2.87,0,1.15,0
 60-70,0,0,0,2.94,11.78,0,0,0,0.98,0,0,0,0,0,0,1.96,24.54,0.98,0,0,24.54,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0.98,0,3.93,27.49,0.98,0.98,1.96,3.93,0.98,0,0,2.94,0.98,0,0.98,51.05,0,0.98,0,28.47,4.91,0.98,0,5.89,0,0,1.96,0,1.96,0.98
 84-94,0,0,0,3.19,6.37,0,5.31,0,2.12,0,0,0,5.31,0,0,10.62,53.1,1.06,0,0,6.37,1.06,0,0,3.19,0,0,1.06,0,0,0
 96-106,0,0,0,8.74,8.74,0,5.46,0,3.28,0,0,1.09,4.37,1.09,1.09,4.37,72.13,1.09,0,0,13.11,1.09,1.09,0,18.58,0,0,0,0,0,0
108-118,0,0,0,27.57,9.19,0.77,13.02,0.77,3.06,0.77,0.77,0,0.77,0,0,3.83,55.15,0,0.77,0,8.43,3.83,0,0,4.6,0,0,0.77,0.77,1.53,0
120,0,0,0,23.52,3.92,1.96,19.6,0,0,1.96,0,0,1.96,0,0,1.96,70.55,0,0,1.96,9.8,1.96,0,1.96,3.92,0,0,0,0,0,0
