stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,514.89,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,22.03,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,29,7,1,2,0,1,6,1,0,0,0,3,0,0,3,0,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,0,0,0.82,0,1.64,0,0,0.82,0,0,0,16.42,0,0.82,22.98,8.21,4.93,0.82,0,2.46,18.88,0,2.46,0,0,33.66,1.64,0.82,9.03,0,0,0,0,1.64
 36-46,0,0,1.61,0,3.22,0.81,0,2.42,0.81,0.81,0,1.61,0,0,0,0,4.03,0.81,0.81,4.03,0,5.64,0,0,0,30.62,0,2.42,1.61,0,35.45,0,0,11.28,0,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,4.02,0,1.15,0,1.15,1.72,0,0,0,4.02,0,0.57,1.15,0.57,9.75,1.15,0,0.57,29.84,0.57,1.72,1.15,0,45.9,1.15,0,9.18,0,0,1.15,0,0
 60-70,0,0,0.98,0,0.98,14.72,0,11.78,0,3.93,0,9.82,0.98,0,0.98,0,1.96,3.93,0,0,0,26.5,1.96,0,0,40.24,0,6.87,0.98,0,68.71,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,3.93,165.9,0,32.39,1.96,3.93,0,23.56,2.94,0,0,0,0,4.91,0.98,0.98,0.98,44.17,4.91,1.96,0.98,55.95,0,4.91,3.93,0,90.31,0,0,2.94,0,0.98,0,2.94,0
 84-94,0,0,1.06,0,6.37,143.38,0,25.49,0,5.31,0,23.36,2.12,0,0,1.06,11.68,8.5,1.06,0,1.06,27.61,7.43,1.06,1.06,28.68,1.06,1.06,3.19,0,258.08,0,0,6.37,0,0,1.06,0,0
 96-106,0,0,2.19,0,13.11,178.13,0,24.04,1.09,7.65,0,28.41,5.46,0,1.09,1.09,10.93,15.3,0,0,1.09,36.06,9.84,6.56,0,33.88,0,4.37,8.74,0,215.29,0,0,3.28,2.19,2.19,0,1.09,0
108-118,0,0,2.3,0,15.32,87.32,0.77,31.4,0.77,13.02,0.77,22.21,12.26,0,0.77,0.77,6.89,22.21,2.3,2.3,1.53,16.85,8.43,2.3,0.77,38.3,0.77,3.06,4.6,0,180,0,0.77,5.36,2.3,0,0,0,0
120,0,0,5.88,0,23.52,94.07,0,29.4,1.96,7.84,0,7.84,9.8,0,1.96,0,5.88,15.68,0,1.96,0,25.48,7.84,11.76,1.96,35.28,0,3.92,1.96,0,154.82,1.96,1.96,7.84,0,0,0,1.96,0
