stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,16,3,0,9,0,0,0,35,1,0,0,0,0,0,0,0,9,0,0,4,80,0,1,5,6,0,13,16,0,8,99,0,0,0,0
 24-34,0,2.46,10.67,0.82,0,9.03,0,0,0,45.97,0,0,0,0,0,1.64,0,0.82,8.21,0,0.82,0.82,55.82,0.82,4.93,3.28,0,0,0,6.57,0,0,60.74,0,2.46,0,0
 36-46,0,0,0.81,0,0,7.25,0.81,0,0,20.14,0,0,0,0,0,0,0,0.81,4.03,0,0,0,41.89,0,10.47,0.81,0,1.61,0,8.86,0,0,48.34,0,0,0,0.81
 48-58,0,0,2.3,0.57,0,7.46,0.57,0,0,29.26,0.57,0.57,0,0,0,2.3,0,1.72,4.02,0,0,0.57,25.25,0,8.03,1.72,0,0,0,3.44,0,0,33.85,0,0,0,2.3
 60-70,0,0,0,0,0,5.89,0,0,0,26.5,0.98,0,0,0.98,0,1.96,0,1.96,3.93,0,0.98,0,19.63,0,11.78,0.98,0,0,0,0.98,0.98,0,18.65,0.98,0,0.98,0
 72-82,0,0,1.96,3.93,0,2.94,0,0,0.98,43.19,0,0,0.98,0,0,0,0.98,0,16.69,0.98,0.98,0.98,27.49,0,19.63,6.87,0,1.96,0,2.94,0,0,17.67,0,0,0,0.98
 84-94,0,0,2.12,5.31,0,3.19,0,0,0,39.3,0,0,0,0,0,1.06,0,1.06,9.56,0,0,1.06,12.74,1.06,18.05,11.68,0,0,0,8.5,0,0,13.81,0,0,0,1.06
 96-106,0,1.09,9.84,3.28,1.09,4.37,0,0,1.09,33.88,1.09,0,0,0,0,4.37,2.19,0,22.95,0,0,4.37,20.76,0,21.86,13.11,0,4.37,0,5.46,0,0,15.3,0,0,0,1.09
108-118,0.77,0,6.13,5.36,2.3,3.06,0,1.53,1.53,40.6,1.53,0,1.53,0.77,0.77,7.66,2.3,2.3,17.62,0,0,6.13,16.09,0.77,16.09,13.79,0,1.53,0,6.89,0,0,10.72,0,0,0,4.6
120,0,0,11.76,9.8,0,7.84,1.96,3.92,1.96,23.52,0,0,3.92,1.96,0,1.96,7.84,0,23.52,1.96,0,9.8,25.48,1.96,21.56,15.68,0,7.84,0,0,0,0,0,0,0,1.96,3.92
