stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,0,0.57,0,2.3,0,0.57,0,1.15,0,0,10.9,0,0,0,2.3,0.57,1.15,0,0,0,0,0
 60-70,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0.98,0.98,0,1.96,0.98,0,0,0,5.89,0.98,0,0.98,0,5.89,0.98,0,4.91,0.98,0,0.98,0.98,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,1.06,2.12,3.19,1.06,2.12,0,2.12,0,0,4.25,0,0,0,2.12,0,0,0,0,0,5.31,0
 96-106,2.19,0,0,5.46,1.09,1.09,0,0,15.3,3.28,0,0,0,5.46,1.09,1.09,5.46,0,0,1.09,1.09,0,1.09,1.09,1.09,0,10.93,0
108-118,3.06,0.77,0.77,0.77,0,0,0.77,1.53,12.26,5.36,0,0,0.77,7.66,0.77,0,3.83,0.77,0.77,0,1.53,0,0,1.53,0,0.77,3.83,0
120,1.96,3.92,0,0,0,0,0,0,7.84,3.92,0,0,0,3.92,0,0,13.72,0,1.96,0,1.96,0,0,0,0,1.96,1.96,0
