stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,131.78,1871.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,79.69,901.06,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,10.51,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,105.15,5.26,0,0,39.43,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,9.44,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,4,4,60,0,0,0,0,6,0,0,3,60,0,0,7,0,1,0,0,0,1,0,0,18,2,1,4,1,149,4,3,3,3,7,0,0,0,0
 24-34,0,0,4.93,4.1,41.86,0.82,0,4.1,0,8.21,0.82,0,2.46,6.57,0,0,30.37,0,4.93,3.28,0,6.57,18.88,0,2.46,78.8,2.46,25.45,12.31,0,325.06,0,0,17.24,0.82,14.78,0,0,2.46,0
 36-46,0,0,1.61,0,9.67,0,0,5.64,0,4.03,0,1.61,1.61,2.42,0,0.81,9.67,0,7.25,1.61,0,3.22,24.98,0,0.81,83.79,0.81,40.28,3.22,0,348.85,4.03,0,6.45,0,12.09,0,0,1.61,0
 48-58,0,0,1.72,0,5.16,0,0,6.89,0,3.44,1.15,1.72,3.44,18.94,0,0,2.87,0,6.31,2.3,0,5.74,22.38,0,1.72,47.05,0.57,17.21,7.46,0,252.47,0.57,0,3.44,0,4.02,0,0,0,0.57
 60-70,0,0,1.96,0,12.76,0.98,0,15.7,0,5.89,0.98,2.94,8.83,10.8,0,0,6.87,0,11.78,2.94,0,1.96,16.69,0,0.98,28.46,0.98,21.59,12.76,0,161.95,0,0,3.93,0,3.93,1.96,0,0.98,0
 72-82,0,0,10.8,0.98,14.72,0,8.83,34.36,0,2.94,0,10.8,52.03,4.91,0,0.98,9.82,3.93,25.52,1.96,0.98,13.74,45.16,0.98,0,58.9,0,53.01,26.5,0,149.21,0,0,4.91,0,2.94,12.76,0,0.98,0
 84-94,0,0,13.81,3.19,47.79,3.19,18.05,46.73,0,9.56,3.19,12.74,115.76,11.68,0,1.06,35.05,0,36.11,15.93,1.06,13.81,44.61,2.12,1.06,40.36,1.06,44.61,35.05,0,593.68,1.06,0,9.56,0,0,49.92,1.06,1.06,0
 96-106,0,0,9.84,1.09,90.71,1.09,30.6,40.44,0,6.56,1.09,24.04,170.48,1.09,0,4.37,33.88,0,75.41,9.84,0,22.95,55.74,0,2.19,65.57,4.37,93.98,45.9,0,441.51,0,0,7.65,0,4.37,63.39,1.09,2.19,1.09
108-118,0,0,9.19,6.89,108.77,4.6,39.06,42.89,0.77,11.49,0.77,22.21,173.87,0,0.77,3.83,45.96,0,44.43,23.74,0,13.02,31.4,0,3.06,75.83,0.77,64.34,36.77,0,324.77,2.3,0,5.36,0,0,84.26,0,3.06,0
120,0,0,5.88,0,62.71,0,13.72,17.64,0,9.8,0,13.72,117.59,0,0,3.92,23.52,5.88,23.52,5.88,0,3.92,23.52,1.96,0,64.67,0,27.44,21.56,0,244.97,1.96,0,11.76,0,1.96,19.6,1.96,0,0
