stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0,0,1.64,0,0,4.93,13.95,0,2.46,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0.81,0,0,1.61,1.61,0,0,0,0,0,1.61,0,0,0,6.45,0,2.42,0,0,0,0,3.22,0,0,0
 48-58,0,0,1.15,0,0,0,5.16,0,0,0.57,0,0,0.57,0,0,0,6.31,0,0.57,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,0,0,0,3.93,2.94,0.98,0,0,0,0,5.89,0,0.98,0,5.89,0,3.93,0,0,0,1.96,1.96,0.98,0,0
 72-82,0,0,1.96,0,0,3.93,4.91,0.98,0,0,0,0,2.94,0.98,0,0,13.74,0,0,0,0,0,5.89,0,0,0,0
 84-94,0,0,0,0,1.06,0,2.12,0,0,0,0,2.12,4.25,0,0,0,7.43,0,1.06,0,0,0,6.37,2.12,0,0,1.06
 96-106,0,0,1.09,0,1.09,2.19,3.28,2.19,0,0,0,1.09,4.37,0,1.09,0,3.28,0,0,2.19,0,0,6.56,0,1.09,1.09,0
108-118,0,0,0,0,2.3,0.77,0.77,0,0,0.77,1.53,1.53,5.36,0,0,1.53,15.32,0,2.3,0.77,0,0,6.89,1.53,0,0,0
120,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,1.96,3.92,0,0,1.96,21.56,0,0,1.96,0,0,7.84,0,0,3.92,0
