stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,4,118,6,5,0,0,0,0,1,1,0,0,0,0,29,0,0,38,58,2,0,3,10,5,104,19,9,120,119,0,4,0
 24-34,0,0.82,137.9,3.28,4.1,0,9.85,6.57,9.03,0,2.46,0,0.82,0,0.82,104.25,1.64,0,45.15,45.15,2.46,1.64,4.1,0,4.93,0.82,12.31,4.93,80.44,74.7,0,36.12,0
 36-46,0,0.81,15.31,0,5.64,0.81,0.81,14.5,0.81,0.81,0,0,0,0.81,0,63.65,0,0.81,21.75,23.36,0,0,0.81,0,3.22,0,4.83,0.81,0,16.92,0,18.53,0
 48-58,0,0,2.87,0,4.02,0,2.3,8.03,2.3,0,0,0,0.57,0,0,36.72,0,0.57,21.8,16.07,0,0,0,0,1.72,0,2.3,1.15,0,3.44,0,8.03,0
 60-70,0,0,0.98,0,5.89,0.98,1.96,3.93,0.98,0,0,0,0,0,0,16.69,0,0,2.94,18.65,0,0,0,0,0,0,1.96,0,0,1.96,0,0.98,0
 72-82,0,0,0.98,0,5.89,0,0.98,6.87,0,0,0,0.98,0,0,0,19.63,0,0,9.82,7.85,0,0,0,0,0,0,0.98,0,0,0,0.98,1.96,0
 84-94,0,0,1.06,0,1.06,0,0,2.12,1.06,0,2.12,0,0,0,0,13.81,0,0,2.12,8.5,0,0,0,0,0,0,1.06,0,0,0,0,4.25,0
 96-106,0,0,0,0,1.09,0,0,2.19,1.09,0,0,0,0,0,0,6.56,0,0,1.09,7.65,0,0,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,2.3,0,0,0,0,0,0,0,8.43,0,0,1.53,6.89,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,7.84,0,0,1.96,9.8,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96
