stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0
 24-34,0,9.03,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,5.75,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,41.89,0,0,2.42,0,1.61,27.39,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0,0.81,4.83,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,162.39,0,0,8.03,0,5.16,54.51,1.15,0,0,0,0,0,0,0,0,0,9.75,2.3,0,0.57,16.07,0,0.57,0,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,345.5,0,0,13.74,0,12.76,71.65,2.94,0,0,0,0,0.98,0,0,0,0,23.56,1.96,0.98,0,21.59,0,0,0,0,0,0.98,0,0,1.96,0,1.96,0,0,0
 72-82,0,444.69,2.94,0,35.34,0,13.74,119.76,10.8,2.94,0,0,0,2.94,0,0,0.98,0,79.51,3.93,2.94,4.91,45.16,0,0.98,0.98,0,0,0.98,0,0,4.91,0,1.96,2.94,0,0
 84-94,0,951.59,0,0,30.8,0,45.67,70.09,3.19,0,0,0,1.06,7.43,1.06,0,0,1.06,93.46,9.56,1.06,2.12,14.87,2.12,0,0,0,0,4.25,2.12,0,2.12,0,3.19,0,2.12,2.12
 96-106,0,1139.84,8.74,1.09,30.6,1.09,44.81,64.48,7.65,3.28,0,0,2.19,5.46,2.19,1.09,5.46,1.09,157.37,20.76,2.19,1.09,62.29,1.09,2.19,0,0,0,9.84,0,0,3.28,1.09,10.93,7.65,2.19,0
108-118,0,1164.26,0,1.53,19.92,0,65.11,49.79,7.66,1.53,0,0,0.77,3.83,2.3,0.77,1.53,0,137.87,9.96,0,5.36,29.87,0,1.53,0.77,0,0.77,7.66,1.53,0,1.53,0.77,26.04,1.53,1.53,0.77
120,0,795.67,1.96,1.96,17.64,0,37.24,47.03,1.96,3.92,0,1.96,1.96,1.96,1.96,0,1.96,0,143.06,9.8,1.96,1.96,39.2,0,0,0,0,0,3.92,0,0,1.96,0,19.6,0,3.92,0
