stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,glial,hatching.gland,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,276.74,4388.25,0,0,0,0,0,0,0,0,0,0,197.67,0
  5-6,251.32,6669.04,12.26,0,0,0,18.39,0,0,73.56,6.13,30.65,122.59,0
  7-9,21.03,31.54,10.51,107.78,0,0,13.14,0,0,1048.86,13.14,283.9,0,0
 10-12,0,0,0,28.32,0,0,3.15,0,0,53.5,3.15,6.29,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,3.28,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
