stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39
  7-9,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,7.89,2.63,0,2.63,2.63
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,15.6
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,8.86
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59
 60-70,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,11.78
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,11.78
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31
 96-106,0,0,0,1.09,0,1.09,0,2.19,1.09,0,1.09,0,0,0,0,0,0,12.02
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,3.06
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,9.8
