stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,1.61,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,4.02,0.57,0,0,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,1.96,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0.98,0,5.89,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,2.94,0,0.98,0.98,0.98,0,0,0,3.93,0,0,10.8,1.96,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,3.19,0,0,0,2.12,0,0,0,1.06,0,0
 96-106,1.09,1.09,0,2.19,0,0,1.09,2.19,0,2.19,0,1.09,1.09,1.09,3.28,0,0,12.02,1.09,1.09,0,0,0,1.09,1.09,0,1.09,1.09
108-118,0.77,0.77,0,3.06,0,0,0,0,0,3.06,1.53,0,0,0,2.3,0,0.77,9.19,0,0,0,0.77,0,0,0,0,0,0.77
120,0,1.96,0,1.96,1.96,0,0,0,0,3.92,1.96,0,0,0,1.96,0,0,11.76,1.96,1.96,0,3.92,0,0,0,0,1.96,0
