stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2319.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1354.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,142,0,2,0,0,0,2,0,1,0,0,124,0,0,0,0,2
 24-34,0,0,4.1,0,2.46,0.82,0,9.85,0,0,6.57,0,0,0,0,0,0,0,0.82,0,5.75,0,0,3.28,881.6,0,32.83,0,0,0,5.75,0.82,0,0,0.82,307,0,0,0.82,0,2.46
 36-46,0,0,3.22,0,2.42,0.81,0,58.01,1.61,0,13.7,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0,2119.72,0,33.03,0,0,0,5.64,0.81,0,0,0,447.15,0,0.81,0.81,0,0
 48-58,0,0,2.87,0,5.74,0,0,300.67,0.57,0,59.68,0,0,0.57,1.72,0,0.57,0.57,0.57,0,17.79,0,1.15,2.87,2905.17,0,18.36,1.15,0,0,4.02,0,0,0,0,561.75,0,0,1.15,0.57,1.15
 60-70,0,0,0.98,0,7.85,0,0,624.25,0.98,0,78.52,0,0,0,0.98,0,0,0,0,0,11.78,0,0,3.93,3118.3,0,23.56,0,0,0,1.96,0,0,0,0,467.2,0,0,0.98,0,0.98
 72-82,0,0,3.93,0,16.69,5.89,0,820.67,0.98,1.96,140.38,0.98,0,1.96,0.98,0.98,2.94,0.98,0,0.98,55.95,0,0.98,2.94,2696.63,0,44.17,2.94,0,0.98,2.94,0,0,0,0,283.7,1.96,1.96,3.93,1.96,6.87
 84-94,0,0,6.37,0,16.99,3.19,0,474.73,0,1.06,91.34,2.12,0,0,4.25,0,0,0,0,2.12,19.12,0,6.37,3.19,1334.98,1.06,26.55,1.06,0,1.06,5.31,0,0,1.06,0,150.81,0,0,1.06,2.12,0
 96-106,0,0,5.46,0,16.39,1.09,0,384.68,1.09,2.19,84.15,2.19,0,0,4.37,0,0,2.19,2.19,0,29.51,1.09,0,2.19,1087.38,1.09,53.55,2.19,0,2.19,7.65,0,0,0,0,60.11,0,0,3.28,1.09,1.09
108-118,0,0,0,0.77,13.79,3.83,0,271.15,0,0.77,74.3,0.77,0,0,2.3,0,0,0,0.77,0,13.79,0,0.77,1.53,1305.2,0,30.64,2.3,0,0,3.06,0,0,0,0,42.89,0.77,0.77,2.3,0,0
120,1.96,0,1.96,0,11.76,0,1.96,160.7,3.92,0,45.08,1.96,0,0,0,0,0,0,1.96,0,17.64,0,0,3.92,1036.73,1.96,17.64,0,0,0,1.96,0,0,1.96,0,29.4,0,0,3.92,0,0
