stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,3,0,0,0,0,1,0,0,0,1,17,1,0,1,0,3,0,4,8,0,0
 24-34,0,0,0,0.82,0.82,0,0,1.64,0,0,0,3.28,0.82,23.8,0,0.82,0,0,0,0,1.64,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0.81,0,13.7,0,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0,6.89,0,0.57,0,0,0,0,1.15,0,11.48,0.57,0,0,0.57,0,0,0,3.44,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0.98,0,0.98,0,16.69,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0.98,1.96,1.96,0,0,0,0,0,0,1.96,0.98,8.83,0,0,0,0,0,0,0,0.98,3.93,0
 84-94,0,0,0,0,6.37,0,0,2.12,0,0,0,2.12,1.06,9.56,0,0,0,2.12,0,0,0,2.12,8.5,0
 96-106,0,0,0,0,5.46,0,0,1.09,1.09,0,1.09,2.19,0,5.46,1.09,1.09,0,0,0,1.09,0,1.09,21.86,0
108-118,0,0,1.53,0.77,10.72,1.53,0,1.53,0,0,0,3.06,0.77,6.89,0,0,0,0,0,0.77,0,0,15.32,0
120,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,17.64,0
