stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,31.47,0,0,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,2,0,0,0,1,0,0,0,1,0,2,2,0,4,43,1,1,0,1,0,2,1,2,18,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,7.39,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,91.12,0,0.82,0.82,0,4.1,0,0,0.82,22.98,0,0,0.82,0.82
 36-46,0,0,0,0,1.61,0,16.11,0,0,3.22,0,0,0,0,0,0,0,4.83,0,2.42,97.49,0,1.61,1.61,0,0.81,0,0.81,0,25.78,0,0,1.61,0
 48-58,0,0,0,0,2.3,0,21.8,0,0.57,4.59,0,0,0,0,0,0.57,0,5.74,0.57,0,43.61,0,0,0,0,0,0,0,0,9.75,0,0,0.57,0
 60-70,0,0,0,0,0,0,30.43,0,0,6.87,0,0,0,0,0,0,0,10.8,0,2.94,53,0,0,0,0,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,9.82,0,0.98,1.96,0,0,0,0,0,0,0,8.83,0,1.96,41.23,0,0,0.98,0,0,0,0,0,3.93,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,0,15.93,1.06,0,4.25,0,0,0,1.06,0,0,0,6.37,1.06,0,29.74,0,0,1.06,0,1.06,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,2.19,1.09,8.74,0,0,4.37,1.09,0,0,0,0,0,0,6.56,0,0,13.11,0,0,1.09,0,1.09,0,0,0,2.19,0,1.09,3.28,0
108-118,0,0,0,0,0,1.53,10.72,0,1.53,3.83,0,0,0,0,0,0,0,0.77,0.77,0,17.62,0,0,2.3,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,7.84,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0,13.72,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
