stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,1,4,2,0,1,0,0,0,1,0,0,1,0,0,0,14,0,3,0,0,2,10,0,0,1,1,0,0,5,1,3,4,0,0,1,0,1
 24-34,1.64,1.64,1.64,0.82,0,0,0,0,0,0,2.46,0,3.28,0,0,0,14.78,0,6.57,0,0,0,13.95,0.82,0,0.82,0,0,0.82,0,0,1.64,6.57,0,0,12.31,0,0
 36-46,1.61,0.81,2.42,0,0,1.61,0,0.81,0,0,4.03,0,0.81,0,0,0,9.67,0,2.42,0,0,2.42,11.28,1.61,0.81,0,0,0,0,0.81,0.81,0,6.45,0,0,8.86,0,0
 48-58,1.72,0,0.57,0,0,1.72,0,0,2.3,1.15,4.59,0,0.57,0,0,0,14.92,0.57,3.44,0,1.72,2.87,10.9,1.15,0,0.57,0,0.57,0,0,0,0,2.87,0,0,8.03,0,0
 60-70,2.94,0,0.98,0,0,11.78,0,0,0.98,3.93,15.7,0,0,0,0,0,19.63,0,1.96,0,0,0.98,10.8,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0.98,5.89,0,0
 72-82,27.49,0,2.94,10.8,9.82,2.94,0,0,1.96,1.96,40.25,0.98,1.96,15.71,0,0,63.81,0,15.71,0.98,0,0,15.71,0,0.98,0.98,0,0.98,1.96,0,0,0,1.96,0,0,7.85,0,0
 84-94,16.99,2.12,1.06,1.06,22.3,6.37,0,0,3.19,2.12,45.67,0,1.06,4.25,0,0,231.52,0,13.81,0,0,0,21.24,0,1.06,1.06,0,0,1.06,0,2.12,0,2.12,1.06,0,4.25,0,0
 96-106,24.04,0,3.28,16.39,24.04,4.37,1.09,1.09,3.28,3.28,59.01,0,0,15.3,0,0,384.68,0,20.76,0,0,3.28,49.18,1.09,0,2.19,0,2.19,2.19,0,0,0,3.28,0,1.09,17.49,2.19,0
108-118,14.55,3.83,2.3,6.13,75.06,13.02,0,0.77,3.83,6.13,42.13,0,0,11.49,0.77,0,821.88,0,25.28,1.53,0.77,1.53,48.26,0,1.53,1.53,0,1.53,3.06,0,0.77,0,2.3,0,0,13.02,0.77,0
120,5.88,0,3.92,7.84,35.28,7.84,0,0,5.88,3.92,39.2,0,0,5.88,0,1.96,395.88,0,23.52,1.96,0,1.96,41.16,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,13.72,1.96,0
