stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,122.59,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,18.4,0,0,31.54,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,252.36,15.77,0,0,155.09,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,22.03,0,0,75.53,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,245.46,15.73,0,0,138.47,0,0,0,0,3.15,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,7,33,6,22,0,0,0,23,5,0,1,0,0,0,0,0,0,42,0,30,299,0,0,1,4,0,0,0,68,1,7,178,105,0,0,2,0,0
 24-34,0,0,0,22.98,1.64,23.8,0,0.82,3.28,20.52,0,0,1.64,0,0,0,0.82,0,0,81.26,0,66.49,494.98,0,0,4.1,0,0,0,0,0,0,0.82,31.19,155.14,0,0,8.21,0,0
 36-46,0,0,0,10.47,0,21.75,2.42,0.81,2.42,28.2,0,0,1.61,0,0,0,0,0,0,95.87,0.81,50.76,273.12,0,0.81,4.03,0,0,0,0,0.81,0.81,0.81,0,128.91,0,0,3.22,0,0
 48-58,0,0,0,3.44,0,15.49,0,0,3.44,44.18,0,0,1.15,0,0,0,0,0,0.57,123.94,1.72,29.84,87.22,0.57,0,4.02,0,0,0,0,0,0.57,0,0,40.74,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,10.8,0,0,4.91,48.09,0,0,0,0.98,0.98,1.96,0,0,0,166.86,9.82,11.78,48.09,0,0,8.83,0,0,0,0,0,0,0,0,18.65,0,4.91,0,0.98,0.98
 72-82,0,0,0,8.83,0.98,19.63,0.98,0,4.91,60.86,0,0,0.98,0,0,0,0.98,0,0,182.59,6.87,19.63,32.39,0,0,6.87,0,2.94,0,0,0,0,0,0,4.91,0.98,4.91,0,5.89,0
 84-94,0,0,0,9.56,0,24.43,3.19,0,2.12,23.36,0,0,2.12,0,2.12,1.06,0,0,0,107.27,10.62,10.62,18.05,0,0,4.25,0,1.06,1.06,0,0,1.06,0,0,6.37,0,1.06,2.12,3.19,0
 96-106,0,0,0,6.56,0,18.58,1.09,1.09,3.28,27.32,0,0,0,0,0,1.09,1.09,0,0,107.1,4.37,13.11,26.23,0,0,4.37,0,2.19,1.09,0,0,0,0,0,0,1.09,3.28,1.09,5.46,0
108-118,0,0,0,9.96,0,11.49,2.3,0,1.53,27.57,0.77,0,0,0,0,0.77,0.77,0,0,61.28,3.83,5.36,32.94,0,0,3.83,0,0.77,0,0,0,0,0,0,0,0,0,0,8.43,0.77
120,0,0,0,7.84,0,13.72,0,0,0,31.36,0,0,1.96,0,0,0,0,0,0,80.35,3.92,3.92,37.24,1.96,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,5.88,0
