stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,pronephros,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,1,0,6,0,0,3,0,0,0,0,2
 24-34,0,4.1,2.46,0.82,0.82,0,0.82,5.75,0,1.64,4.1,0,0,0.82,0.82,1.64
 36-46,0,2.42,0,0,0,0,0,7.25,0.81,3.22,0.81,1.61,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,4.59,0,0.57,1.72,0,0,0,0,0.57
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0
