stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,9,0,0,0,0,0,3,0,1,7,0,0,1,0,0
 24-34,0,0,0.82,3.28,0.82,0,4.93,0,0.82,0,1.64,0.82,1.64,4.1,1.64,0,0,0.82,0,4.1,0.82,0,0.82,47.61,0,3.28,0.82,0,0,17.24,0,0,13.13,0,0,3.28,0,0.82
 36-46,0,0,0,2.42,0,0,2.42,0,1.61,0,4.83,0,0.81,2.42,0,0,0.81,0,0,4.03,0,0.81,0,53.98,1.61,3.22,0,0,0,22.56,0.81,0.81,13.7,0,0,4.03,0,0
 48-58,0,0,0,3.44,0.57,0,5.74,0,0.57,0.57,7.46,0,0.57,1.15,0.57,0,0,0,0.57,8.03,0,0.57,3.44,49.35,0,2.87,0.57,0,0,18.94,0.57,0,9.18,0,0,5.16,0,0.57
 60-70,0,0,0,3.93,0.98,0,12.76,0,0,0,15.7,0,0,2.94,0,0,0,0,0,11.78,0,2.94,0.98,77.54,0.98,2.94,0.98,0,0,24.54,0,0,12.76,0,0,9.82,1.96,0
 72-82,0,1.96,0,8.83,5.89,0,16.69,0,0.98,0.98,20.61,3.93,0,15.71,0.98,0,2.94,1.96,0,30.43,1.96,0.98,9.82,88.35,0,12.76,1.96,0,0,48.1,0,0,8.83,4.91,0,19.63,1.96,0.98
 84-94,0,1.06,0,12.74,5.31,0,14.87,0,5.31,2.12,10.62,3.19,0,21.24,3.19,0,2.12,0,0,13.81,3.19,0,2.12,65.85,0,6.37,3.19,0,0,121.07,0,0,1.06,3.19,2.12,20.18,1.06,1.06
 96-106,0,1.09,0,20.76,5.46,1.09,20.76,2.19,5.46,0,17.49,8.74,0,20.76,5.46,0,1.09,1.09,1.09,19.67,3.28,4.37,1.09,50.27,2.19,5.46,12.02,0,0,135.51,0,0,3.28,14.21,1.09,16.39,2.19,2.19
108-118,0,0.77,1.53,22.98,2.3,0,13.02,0,3.06,0,16.85,8.43,1.53,28.34,1.53,0,6.13,0,2.3,16.85,0.77,0,0.77,70.47,0.77,8.43,6.89,0,1.53,67.4,0.77,0,1.53,19.15,0.77,13.02,0.77,0.77
120,0,0,0,25.48,7.84,0,11.76,0,0,0,13.72,5.88,0,9.8,1.96,1.96,1.96,0,0,5.88,3.92,0,5.88,78.39,0,0,1.96,0,1.96,84.27,0,0,7.84,9.8,0,25.48,3.92,0
