stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,mucous,neural,olfactory,otic,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,6.31,0,0,0,0
 60-70,0,0,0.98,1.96,0.98,0,0,5.89,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,1.06,0,0,1.06,1.06,0,5.31,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,3.28,1.09,2.19,0,0
108-118,0,0.77,0,0,0.77,0,0,3.06,0.77,0.77,0,0.77
