stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,160.5,0,0,0,0,3.15,0,0,0,0,0,966.12,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,144,2,9,3,0,0,0,0,4,0,22,1,7,54,1,2,0,0,1,33,1,0,0,0
 24-34,0,1.64,31.19,0,1.64,15.6,0,0.82,0,0,23.8,0,11.49,0,2.46,11.49,0,0,0,0,0,41.86,0,4.1,0,0
 36-46,0,0,2.42,0,0.81,0.81,1.61,0,0,0,11.28,0.81,4.03,0,0,7.25,0,0,0,0,0,20.95,0,2.42,0,0
 48-58,0,0,1.72,0,2.3,0.57,2.87,0.57,0,0,9.18,0,13.77,0,0,2.87,0,1.72,0,0.57,0,16.07,0,4.02,0,0
 60-70,0,0,0.98,0.98,0.98,0,7.85,0,0,0,3.93,0,29.45,0,0,3.93,0,0,0,0,0,8.83,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,0,5.89,0.98,0,0,4.91,0,50.06,0,0,4.91,0,0,0,0,0,7.85,0,0.98,0,0
 84-94,0,0,2.12,0,2.12,1.06,0,1.06,0,0,7.43,1.06,25.49,0,0,1.06,0,0,0,0,0,6.37,0,1.06,0,0
 96-106,0,0,1.09,0,5.46,0,1.09,0,0,0,2.19,1.09,53.55,0,0,5.46,0,1.09,0,0,0,5.46,0,0,0,0
108-118,0,0,0.77,0,0.77,0,3.06,0.77,0.77,0,4.6,0.77,34.47,0.77,0,0.77,0,0.77,0,0.77,0,4.6,0,0,0,0
120,0,0,5.88,0,1.96,0,0,0,0,0,0,0,39.2,0,0,3.92,0,0,0,0,0,1.96,0,1.96,1.96,0
