stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,25.45,0,0,0,0,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0,92.65,0.81,0,0,0,0,0,0,14.5,0,0,0,0,0
 48-58,0,0,0,0,9.75,0.57,0,2.3,0,0.57,0,0,0.57,0,0,0,127.96,0,0.57,0,0,0.57,0,0,27.54,0,0,0,0,0
 60-70,0,0,0,0,47.11,0,0,0.98,0,0.98,0,0,2.94,0,0,0.98,301.33,0,0.98,0,0,0.98,0,0,25.52,0,0,0,0,0
 72-82,0,0,1.96,0,105.04,0.98,0.98,3.93,0,0.98,0.98,0.98,3.93,0,0,0,383.83,0,0,0,0,0,0,0,22.58,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,76.47,0,1.06,4.25,0,1.06,1.06,0,3.19,0,0,0,218.78,0,0,0,0,0,0,0,15.93,1.06,0,0,1.06,0
 96-106,0,0,2.19,1.09,62.29,0,0,10.93,0,0,1.09,0,4.37,1.09,0,0,213.11,0,1.09,0,1.09,1.09,0,0,16.39,1.09,0,3.28,0,1.09
108-118,0,0,3.83,0,64.34,0,0.77,6.89,0.77,0,0,0,3.06,0,0,0,201.45,0,0,0,0.77,0,0.77,0,5.36,0.77,0,3.83,0,0
120,0,0,3.92,0,48.99,0,1.96,1.96,0,0,0,0,3.92,0,1.96,0,211.66,0,0,0,0,3.92,0,0,9.8,1.96,0,0,0,0
