stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.13,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0
 10-12,34.62,25.18,0,3.15,154.2,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,915.77,9.44,0,0,169.94,0,0,0,12.59,0,6.29,0,0,0,0
 14-21,0,1,29,4,23,0,0,0,2,0,0,0,0,0,0,1,0,24,0,18,508,1,0,5,4,0,0,17,1,3,17,86,0,1,0
 24-34,0,1.64,20.52,0,35.3,0,0.82,2.46,6.57,0,0,2.46,0,0,0,0.82,0,64.85,0.82,32.83,673.92,0,0.82,4.1,0,0,0,0,0,0,7.39,100.97,0,2.46,0
 36-46,0,0,4.83,0,12.09,0,0.81,4.03,30.62,0,0,1.61,0,0,0,0,0,97.49,0.81,23.36,489.85,0,0,4.03,0,0,0,0,0,0.81,0.81,102.32,0,3.22,0
 48-58,0,0,2.87,0,12.62,0,1.15,4.02,45.9,0,0,0.57,0,0,0,0,0,81.48,1.72,16.07,156.07,0,0,0.57,0,0.57,0,0,0,0.57,0,43.04,0.57,0.57,0
 60-70,0,0,0,0,2.94,0,0.98,6.87,45.15,0,0,0,0.98,0,0,0,0,114.84,3.93,10.8,119.75,0,0.98,3.93,0,0,0,0,0,0,0,16.69,1.96,0,0
 72-82,0,0,5.89,0,10.8,0,1.96,5.89,30.43,0,0,0,0,0.98,0,0.98,0,98.17,1.96,14.72,72.64,0.98,0,3.93,0,0,0,0,0,0,0,1.96,2.94,0,0.98
 84-94,0,0,20.18,0,19.12,2.12,1.06,0,27.61,0,0,3.19,0,0,0,0,0,70.09,3.19,7.43,54.16,0,0,1.06,0,0,1.06,0,0,0,0,5.31,2.12,1.06,4.25
 96-106,0,0,16.39,0,15.3,0,1.09,2.19,16.39,0,0,0,0,1.09,0,0,0,73.22,7.65,4.37,39.34,0,0,1.09,0,0,0,0,1.09,0,0,0,2.19,1.09,2.19
108-118,0,0,10.72,0,10.72,0,0,0.77,19.15,0.77,0,0,0,0.77,0.77,0,0.77,52.85,3.83,5.36,39.83,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0.77,1.53,1.53
120,0,0,13.72,0,5.88,0,1.96,0,29.4,0,0,0,0,1.96,0,0,0,39.2,0,3.92,31.36,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
