stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,2,3,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0.82,0,1.64,0,0,6.57,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,1.61,0,0,17.72,1.61,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.15,0.57,0.57,0,0.57,0,0,1.72,0.57,0,12.62,0,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,1.96,0,0,3.93,0,0.98,0,0,1.96,0,4.91,0,0.98,4.91,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,0,4.91,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,4.25,0,1.06,0,0,4.25,0,0,0,1.06,0,0,2.12,0,0,0
 96-106,0,2.19,0,0,5.46,0,1.09,0,0,10.93,1.09,4.37,0,0,1.09,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0.77,0.77,0,0,0.77,0.77,0,0,20.68,0,2.3,0,0,6.89,0.77,0.77,0,3.06,0.77,0,0.77,0,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,15.68,1.96,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0
