stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,6.57,0,4.93,0.82,0,0.82,0,0,0,0.82,0.82,0,0
 36-46,0,0.81,1.61,0.81,0,0,0,0,0,0,8.06,0.81,5.64,2.42,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,23.53,2.3,1.72,0,0,0,0,0,0,6.89,0,0.57,2.87,0,0,0,0,0,0,0,0,0.57
 60-70,0.98,176.67,0.98,0.98,0.98,0,0.98,0,0.98,0,5.89,0,1.96,2.94,0,0,0,0.98,0,0,0,0,0
 72-82,1.96,199.28,3.93,0.98,2.94,0,0,0,0,0,7.85,1.96,4.91,16.69,0.98,0,0,0,0,0,0,0,0
 84-94,3.19,104.08,4.25,1.06,2.12,0,0,0,0,0,7.43,0,0,7.43,0,0,1.06,0,0,0,0,0,0
 96-106,5.46,69.94,12.02,0,3.28,0,0,4.37,0,1.09,3.28,1.09,0,2.19,0,0,1.09,0,0,0,0,1.09,0
108-118,8.43,29.87,9.19,0.77,0.77,0.77,0,0,0,0,7.66,0,0.77,4.6,0,0,0.77,0.77,0,0,0,0,0.77
120,15.68,45.08,5.88,1.96,1.96,0,0,3.92,0,0,3.92,0,3.92,7.84,0,0,0,0,0,0,0,0,0
