stage,epidermis,erythrocytes,eye,immune,ionocyte,lateral_line,mesenchyme,neural,periderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,4,0,6,0,0,0,0,0,0,0,0
 24-34,0,3.28,0,22.16,0,0,0,1.64,0,0.82,6.57,0
 36-46,0,0.81,0,45.12,0,0,0,6.45,0,0,6.45,0
 48-58,0,0,0,32.71,0,0,0.57,2.3,0,0.57,10.9,0
 60-70,0,2.94,2.94,40.24,0,0,0,2.94,0,0,19.63,0
 72-82,0,6.87,0.98,100.13,0,0.98,0.98,2.94,0,0,26.5,0
 84-94,0,3.19,0,113.64,0,0,0,1.06,0,0,11.68,0
 96-106,1.09,6.56,4.37,155.18,1.09,0,2.19,2.19,0,0,25.14,0
108-118,0.77,9.19,0.77,131.75,0,0,1.53,3.83,0.77,0,22.98,0.77
120,0,19.6,0,125.43,0,0,0,1.96,1.96,0,13.72,0
