stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,1,4,0,0,0,1,1,0,0,0,3,0,0,2,31,1,0,0,0,4,2,12,5,0,0,0,0
 24-34,0,0,1.64,0.82,1.64,0.82,0,0,0.82,0,0,0,0.82,3.28,0.82,0,2.46,21.34,0.82,0.82,0,0.82,0,0,0,4.93,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.06,0,0,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,1.15,0,2.87,0.57,0,0,0.57,0,0,0,0,2.3,0,0,2.3,4.59,0,0,0,0.57,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,8.83,0,0,0,4.91,0,0,0,0,5.89,0,0.98,1.96,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,3.19,0,0,0,0,0,0,0,0,2.12,0,0,0,4.25,0,1.06,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,0,0,0,2.19,0,1.09,0,0,5.46,0,1.09,2.19,2.19,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0.77,0.77,1.53,0,0,0.77,0.77,0,3.06,0,0,1.53,3.83,0.77,1.53,0,1.53,0,0,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,5.88,1.96,0,0,1.96,0,0,0,0,0,0,0,0
