stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,39,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,64,1,0,40,276,7,2,0,0,0,0,0,5,0,0,9,151,0,0,1,0,0
 24-34,0,0,0.82,63.21,13.95,0,19.7,0,10.67,36.12,8.21,0,0.82,4.93,0,0.82,1.64,0.82,1.64,0,263.49,0.82,0,182.23,978.46,11.49,4.93,0,0,0.82,13.95,0,2.46,2.46,0.82,49.25,473.63,0,0,0.82,0,1.64
 36-46,0,0,0,20.95,8.86,0,38.67,0.81,29.81,83.79,19.34,0,0,0.81,1.61,0.81,0,1.61,0,1.61,249.76,0,0.81,196.58,1318.07,1.61,9.67,1.61,0.81,0,5.64,0,1.61,0,0.81,0.81,730.74,0,2.42,4.03,0.81,0.81
 48-58,0.57,0,0,11.48,9.18,0,83.78,0.57,26.4,72.3,96.4,0.57,0,4.59,0.57,0,1.15,0.57,0,1.15,317.89,1.15,2.3,122.22,1089.66,2.3,4.59,2.87,0,0.57,2.87,0,0,1.15,1.15,0,790.7,0,2.3,2.3,1.72,4.02
 60-70,0,0,0,13.74,4.91,0,54.97,4.91,13.74,54.97,144.28,0.98,0,0.98,1.96,0,0,0,1.96,0,316.05,0,6.87,103.06,404.39,0,1.96,4.91,0,0.98,0.98,0,0,0,1.96,0,422.05,0,4.91,0,4.91,1.96
 72-82,0,0.98,0,20.61,0.98,0,83.44,5.89,5.89,78.53,254.25,1.96,0,2.94,2.94,0,0,0,0.98,0,476.11,0,5.89,126.63,236.58,0,0.98,7.85,0,2.94,1.96,0.98,0,0,0,0,175.72,0,6.87,1.96,17.67,1.96
 84-94,0,0,0,32.92,2.12,0,100.89,2.12,12.74,72.22,210.28,0,0,3.19,1.06,2.12,1.06,0,1.06,0,347.29,1.06,5.31,92.4,121.07,0,0,13.81,0,1.06,5.31,0,0,1.06,0,0,104.08,1.06,1.06,0,12.74,1.06
 96-106,0,0,1.09,46.99,1.09,2.19,76.5,5.46,15.3,51.36,182.51,2.19,0,1.09,2.19,0,0,5.46,4.37,0,360.64,1.09,7.65,88.52,131.14,0,4.37,18.58,0,2.19,3.28,0,0,0,0,0,39.34,1.09,9.84,3.28,15.3,0
108-118,0,0,0,24.51,3.06,0.77,19.15,1.53,6.89,44.43,157.02,0.77,0,0.77,2.3,1.53,0,0,2.3,0,358.47,1.53,5.36,68.94,142.47,0,2.3,13.02,0,0,0,0,0,0,0,0,28.34,0,3.06,0,11.49,0.77
120,0,0,0,17.64,3.92,0,39.2,3.92,3.92,39.2,180.3,3.92,0,0,0,0,0,1.96,3.92,0,309.65,0,1.96,56.83,117.59,0,0,1.96,0,3.92,3.92,0,0,1.96,0,0,29.4,0,1.96,1.96,7.84,0
