stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,39.43,13.14,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,25.18,12.59,0,3.15,6.29,0,0
 14-21,0,0,0,2,1,1,0,0,2,0,11,0,0,2,0,3,1
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,0.82,7.39,0,0,0,0,3.28,0
 36-46,0,0,0,0,0,1.61,0,0.81,0.81,0,6.45,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.59,0,1.15,0.57,0,4.59,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,1.96,0,4.91,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0
