stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,25,7,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,1.64,0,4.1,7.39,3.28,0,1.64,0,0,0.82,29.55,13.95,1.64,0,0
 36-46,0,0,0.81,7.25,0,0,0,0,0.81,0.81,0,1.61,4.83,3.22,0,0,0,0,0,15.31,0.81,0,0,0
 48-58,0,0,1.15,5.16,0,0,0,0.57,0,0,0,2.3,4.59,0.57,0,0,0,0,0,11.48,0,1.72,0.57,0
 60-70,0,0,1.96,7.85,0,0,0,0,0,0.98,0,2.94,2.94,0.98,0,0,0.98,0,0.98,7.85,0,0,0.98,0
 72-82,0.98,0.98,0.98,6.87,0,0.98,0,0,0.98,0.98,0,2.94,2.94,0.98,0.98,0,0.98,0,0,6.87,0,0,0,0
 84-94,0,0,0,4.25,0,1.06,0,1.06,0,0,0,2.12,0,0,0,0,0,1.06,0,11.68,0,1.06,0,0
 96-106,0,1.09,1.09,5.46,0,3.28,0,0,0,3.28,0,3.28,4.37,0,1.09,0,1.09,0,0,15.3,0,0,0,1.09
108-118,0.77,1.53,1.53,11.49,0,0.77,1.53,0,0,2.3,1.53,7.66,6.13,0.77,0,0,0,0,0,7.66,0,0,0,0
120,0,0,1.96,13.72,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0,7.84,0,0,0,0
