stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,liver,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,7.89,0,0,2.63,0,0,36.8,18.4,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,59.79,18.88,0,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,6.57,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,2.42
 48-58,0,0,0,0,0,0.57,1.72,0,0,1.72,2.3,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,2.3,0,0,0,0.77
