stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,17,167,18,0,136,0,1,0,17,6,0,4,0,3,0,5,0,0,39,1,0,18,373,1,2,15,2,0,1,0,8,0,187,20,189,0,0,2,0,1
 24-34,0.82,3.28,13.13,34.48,0,0,159.25,0,2.46,2.46,13.95,4.1,0,8.21,1.64,9.85,0,27.91,21.34,1.64,33.66,5.75,0,25.45,2090.72,0.82,3.28,40.22,0,0,14.78,0,0,2.46,118.2,6.57,627.95,0,0,11.49,0,0
 36-46,0,1.61,1.61,14.5,2.42,0,379.47,0,0.81,0,40.28,1.61,0,8.06,0.81,1.61,0.81,13.7,26.59,0,28.2,0.81,0,8.86,2077.82,1.61,3.22,16.11,0,0,9.67,0,0,1.61,66.06,1.61,737.99,0,0,19.34,0,0.81
 48-58,0.57,0.57,0,28.12,0.57,0,1248.03,2.3,1.72,0,106.15,1.72,0,3.44,0.57,2.3,0.57,6.89,32.71,1.15,38.44,1.72,1.15,10.33,1343.28,0.57,0.57,17.21,0,2.3,7.46,0,0,0.57,49.92,0.57,453.88,0,0,20.66,0,1.15
 60-70,0.98,0,0,46.13,0,0.98,2075.92,9.82,0.98,5.89,137.41,2.94,0.98,4.91,0.98,1.96,0.98,8.83,38.28,0.98,37.3,0,0,5.89,1056.12,3.93,0,9.82,0,2.94,7.85,0,0.98,5.89,42.21,0,234.58,15.7,0,40.24,0.98,3.93
 72-82,0,11.78,0,85.4,5.89,20.61,2247.02,12.76,2.94,4.91,200.26,25.52,0,10.8,9.82,6.87,3.93,7.85,74.61,0,69.7,0.98,2.94,13.74,963.01,0.98,1.96,23.56,0.98,0,5.89,0.98,0,1.96,20.61,0,92.28,53.99,0.98,59.88,2.94,4.91
 84-94,0,10.62,1.06,123.2,3.19,56.29,1401.89,13.81,6.37,3.19,146.56,32.92,0,6.37,7.43,8.5,6.37,13.81,248.52,1.06,76.47,2.12,3.19,6.37,665.9,2.12,5.31,32.92,0,1.06,18.05,0,0,1.06,26.55,0,61.6,166.74,5.31,55.23,8.5,0
 96-106,1.09,9.84,0,151.91,10.93,39.34,1110.33,14.21,10.93,2.19,153,37.16,0,13.11,24.04,3.28,2.19,25.14,248.08,0,68.85,2.19,3.28,8.74,530.03,4.37,5.46,44.81,1.09,0,26.23,2.19,0,4.37,17.49,0,22.95,218.57,3.28,66.66,1.09,4.37
108-118,0,5.36,0,66.64,6.89,65.11,801.96,15.32,3.83,4.6,110.3,26.81,0,7.66,20.68,9.96,1.53,18.38,404.43,0.77,35.23,1.53,3.06,11.49,549.96,0,1.53,43.66,0,0.77,13.79,0,0,4.6,29.87,0,14.55,238.21,0.77,54.38,3.83,0.77
120,0,7.84,0,84.27,1.96,19.6,640.85,7.84,9.8,5.88,105.83,17.64,0,5.88,15.68,3.92,1.96,9.8,199.9,0,35.28,1.96,0,13.72,519.34,1.96,3.92,31.36,0,1.96,11.76,0,0,0,7.84,0,9.8,84.27,0,47.03,0,1.96
