stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,22,0,0,0,0,0,0,2,2,6,0,0,0
 24-34,0,0,0.82,0,5.75,0,0.82,0,4.1,0,0,0,0,0,0,6.57,0,3.28,88.65,0,0,0.82,0,0,0.82,0,0,18.06,0,0.82,0.82
 36-46,0,0,0.81,0.81,2.42,0,0,1.61,7.25,0,0.81,0,0,0,0,8.86,0,0.81,105.54,0,0,0.81,0,0,0,0,0,33.03,0,0,1.61
 48-58,0,0,0.57,0,9.18,0,0,0,10.33,0,0,0,0,0,0,9.18,0,1.72,96.4,0,1.15,0.57,0,0,0,0,0,29.26,0.57,1.15,0
 60-70,0,0,0,0,48.09,0,0,0.98,21.59,0,0,0,0,0,0.98,14.72,0.98,1.96,130.54,0,0,0,0,0.98,0,0,0,29.45,1.96,1.96,0.98
 72-82,0,0,0.98,0,55.95,0.98,1.96,0,28.47,0,0.98,0,0,0.98,0,17.67,0.98,0,122.71,0,0.98,0,0,0.98,0.98,0,0,15.71,0.98,0,0
 84-94,0,0,0,1.06,26.55,0,1.06,0,15.93,1.06,0,0,1.06,1.06,3.19,23.36,0,2.12,61.6,1.06,1.06,3.19,0,0,1.06,0,0,13.81,0,1.06,0
 96-106,0,0,3.28,1.09,31.69,0,0,0,10.93,0,0,1.09,0,1.09,0,27.32,1.09,1.09,56.83,0,1.09,1.09,0,0,0,0,0,5.46,1.09,2.19,1.09
108-118,0,0,2.3,1.53,19.92,0.77,0,0,15.32,0,0.77,0,1.53,0.77,0,16.09,0,0.77,55.92,0,0.77,0,0,0.77,0,0,0,3.83,0,2.3,0
120,0,0,1.96,0,21.56,1.96,0,0,19.6,0,0,1.96,0,0,0,13.72,1.96,1.96,60.75,1.96,0,0,0,0,0,0,0,5.88,0,0,0
