stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,21.03,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,55.82,0,0,0,0,0,0,0,0,17.24,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,12.09,0,0,0,0,0,0,0.81,0,0,0,0,82.98,0.81,0,0,0,0,0,0.81,0,34.64,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,11.48,0.57,0,13.2,0,0,0,0,0,0.57,0,3.44,0,0,0,194.52,0,0,0,0,0,0,0,0,30.99,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,36.32,0,0,1.96,0,0,0,0.98,0,0,0,3.93,0,0,0.98,416.17,0,0,0,0,0.98,0,0,0,26.5,0,0,1.96,0,0.98
 72-82,0,0.98,0,2.94,0,0,102.09,0,0,3.93,1.96,0,0,0,0,0,0,7.85,0,0,0.98,610.59,0,0.98,0,0,0.98,0,0,0,37.3,0,0.98,0,0,0
 84-94,0,0,0,4.25,0,0,65.85,0,2.12,12.74,1.06,0,1.06,0,0,1.06,0,9.56,0,1.06,1.06,333.48,0,0,0,1.06,0,0,0,0,13.81,1.06,0,0,0,0
 96-106,0,3.28,0,5.46,0,1.09,57.92,0,0,7.65,1.09,0,0,0,1.09,0,0,8.74,0,0,0,286.33,1.09,0,0,2.19,1.09,0,0,0,10.93,0,0,2.19,0,0
108-118,0,1.53,0,2.3,0.77,0,51.32,0,0,9.96,0,0,0,0,0.77,0,0,12.26,0.77,2.3,0,333.96,0,0,0,0,0,0,0,0,10.72,0,0,2.3,0.77,0
120,0,1.96,0,3.92,0,0,39.2,1.96,0,5.88,0,0,1.96,0,0,0,0,5.88,0,0,0,319.45,3.92,1.96,0,0,0,0,0,0,7.84,0,0,3.92,0,0
