stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,0,1.64,10.67,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,9.67,0,0,0,0,3.22,0,0,0,0
 48-58,0,1.72,0,6.31,0,2.3,0,0,0.57,0,0,0,0,2.87,0.57,6.31,0.57,0.57,0,1.72,0.57,0,0,0,0
 60-70,1.96,3.93,0,8.83,0.98,1.96,0,0,0,0,0,0,0.98,0.98,0,3.93,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,2.94,0,6.87,0,0.98,3.93,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0,0.98
 84-94,1.06,3.19,0,7.43,0,0,0,0,0,2.12,0,1.06,0,2.12,0,6.37,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,0,1.09,0,1.09,0,1.09,2.19,0,0,0,2.19,0,0,0,0,0
108-118,1.53,6.89,0.77,2.3,0,0.77,2.3,0,0,0.77,0,0,0,0.77,0,6.89,0,0,0.77,0,0,0.77,0.77,0.77,0
120,0,3.92,0,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0
