stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,421.69,8763.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0
  5-6,134.85,2635.74,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,6.13,18.39,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,10.51,0,0,0,2.63,0,0,0,0,0,128.81,0,0,36.8,0,15.77,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,81.82,0,0,40.91,3.15,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,2,22,0,7,0,5,1,0,0,0,12,0,6,101,2,1,1,0,2,5,2,1,5,31,0,0
 24-34,0,0,0,1.64,0.82,3.28,0,0.82,0,0,0,0,3.28,0.82,4.1,34.48,1.64,0,0,0,0,0,0.82,0,0,11.49,0,0
 36-46,0,0,0,4.03,0,5.64,0,3.22,0,0,0.81,0.81,4.03,0,0.81,55.59,0.81,0.81,0,0,0.81,0,0,0,0,22.56,0,0
 48-58,0,0,0,0.57,0,2.3,0,2.3,0,0,0,0,2.87,0,0.57,6.89,0,0,0,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0,2.94,0,11.78,0,0,0,0,7.85,1.96,0.98,4.91,0,0.98,0,0,0,0,0,0,0,1.96,0.98,0.98
 72-82,0,0,0,0,0,1.96,0,2.94,0,0,0,0,5.89,1.96,0.98,3.93,0.98,1.96,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,2.12,2.12,5.31,0,0,0,0,1.06,0,2.12,3.19,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,3.28,0,0,0,0,3.28,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,4.6,0,0,0,0,8.43,0,0,2.3,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
