stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0.82,0,22.16,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,60.43,0,0,0,0.81,0,53.98,0,0,0
 48-58,0,0,0,7.46,0.57,0,1.15,0,0,1.72,0,0.57,79.19,0,0,0,0.57,0,43.04,0,0,0
 60-70,0,0,0,36.32,0,0,8.83,0,0.98,0.98,0,0,173.73,0,0.98,0,0,0,38.28,0,0,0
 72-82,0,0,0,74.61,0,0,26.5,0,0,7.85,0,0,204.19,0,0.98,0.98,0.98,0,26.5,0,0,0
 84-94,0,0,0,44.61,0,0,12.74,0,1.06,7.43,0,0,94.52,0,1.06,0,2.12,0,10.62,0,0,0
 96-106,0,0,0,40.44,0,1.09,22.95,0,0,3.28,1.09,0,110.38,1.09,0,0,2.19,0,4.37,0,0,0
108-118,0,0,2.3,23.74,0,0,9.19,0.77,0,1.53,0,0,95.75,0,0,0,2.3,0.77,7.66,0.77,0.77,0.77
120,0,0,3.92,11.76,1.96,0,11.76,0,0,1.96,0,0,96.03,0,3.92,0,0,0,3.92,0,0,0
