stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,1.64,0,0,0,1.64,0,0.82,0,0,0,0,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,0,0,20.95,0,0,0,0,0,0,0,0.81,8.86,0,4.03,0,8.86,0,0,0,0,0,0,0,0,7.25,0,0.81,0.81,0,0
 48-58,0,0,0,0,5.16,0,0,0,87.79,0,0,0,0,0,0,0,1.15,53.36,0,12.62,0.57,34.43,0,0,0,0.57,1.15,0,0,0,55.09,0,1.15,1.72,0,0
 60-70,0,5.89,0.98,0,17.67,0,0,0,234.58,0,0.98,0,0,0,0,1.96,0.98,292.49,0,40.24,7.85,56.93,0.98,0.98,1.96,1.96,0.98,0,0,0,95.21,0,26.5,1.96,18.65,0
 72-82,1.96,8.83,6.87,0,103.07,0.98,0.98,5.89,455.49,0.98,0.98,0,0,0.98,0,1.96,1.96,627.28,0,60.86,19.63,121.73,0,0.98,3.93,1.96,7.85,0,0,0.98,98.17,0.98,62.83,17.67,82.46,0.98
 84-94,1.06,11.68,1.06,0,104.08,0,2.12,2.12,397.2,1.06,0,4.25,0,1.06,1.06,1.06,1.06,483.23,1.06,87.09,11.68,40.36,1.06,1.06,0,0,4.25,0,1.06,0,89.21,2.12,62.66,15.93,93.46,1.06
 96-106,0,52.46,9.84,1.09,171.58,1.09,8.74,8.74,492.87,6.56,1.09,6.56,5.46,2.19,2.19,9.84,2.19,1086.29,4.37,63.39,36.06,216.38,2.19,0,18.58,8.74,30.6,1.09,3.28,0,106.01,0,49.18,7.65,113.66,1.09
108-118,2.3,20.68,6.13,2.3,75.06,0,5.36,14.55,524.68,1.53,3.83,3.83,5.36,0,0.77,3.83,0.77,1132.09,0,34.47,19.92,139.41,1.53,0,12.26,8.43,9.96,0,0.77,0.77,56.68,2.3,26.04,16.09,65.87,2.3
120,1.96,23.52,7.84,3.92,97.99,0,1.96,27.44,687.88,9.8,1.96,11.76,0,0,3.92,1.96,0,1614.86,1.96,70.55,47.03,172.46,1.96,0,7.84,11.76,19.6,0,1.96,1.96,82.31,1.96,29.4,7.84,72.51,3.92
