stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,1,1,0,0
 24-34,0.82,1.64,0,0,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.83,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0.57,1.72,0,0,0,0.57,0.57,0.57,1.15,6.89,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,3.93,0.98,0,1.96,0,0,0,4.91,0,0,0,2.94,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,0,0,0,1.06,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,4.37,0,1.09,4.37,0,0,2.19,1.09,0,0,3.28,0,0,0,3.28,1.09,0,1.09,0,1.09,1.09,0
108-118,0,0.77,0,0.77,2.3,0,0,0,1.53,0,0.77,4.6,0,0,0,4.6,0,0.77,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,0
