stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,9.44,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,1,0,9,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,49.25,0,0,0,0,0,0.82,22.16,0,0
 36-46,0,0,0,6.45,0,0.81,0,0,0,0,0,99.9,0,0,0,0,0,0,27.39,0,0
 48-58,0,0,0,9.75,0,0.57,0,0,0.57,0.57,0.57,80.91,0,0,0,0,0,0,16.07,0,0
 60-70,0,0,0,38.28,0,1.96,0,0,0,0,0,195.32,0,0,0,0,0,0,46.13,0,0
 72-82,0,0,0.98,76.57,0,6.87,0,0,0,0.98,0,182.59,0,0,0,0,0,0,17.67,0,0
 84-94,0,0,0,44.61,0,6.37,0,0,0,0,0,93.46,0,0,0,0,0,0,19.12,1.06,1.06
 96-106,0,0,0,45.9,0,6.56,0,0,0,3.28,0,100.54,0,0,0,1.09,0,0,12.02,1.09,0
108-118,0,0,1.53,32.94,0,6.13,0,0.77,0,1.53,0,106.47,0.77,0,0.77,0,0,0,1.53,0,0
120,0,0,1.96,45.08,1.96,5.88,0,0,0,0,0,113.67,0,0,0,0,0,0,7.84,0,0
