stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,92.25,2016.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,42.91,539.41,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,0,0,0,0,0,0,0,0,0,478.43,0,0,0,0,0,0,0,0,0,0,92,13.14,0,0,60.46,5.26,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,327.28,0,0,0,0,0,0,0,0,0,0,91.26,15.73,0,0,47.2,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,12,38,3,0,1,0,0,0,13,115,0,2,5,0,0,0,1,3,2,1,8,23,1,0,2,1,0,2,7,1,2,0,0,2,0
 24-34,0,0,0,3.28,5.75,1.64,0,0.82,0.82,0,0,5.75,34.48,0,6.57,9.03,0,0,0.82,0,2.46,13.13,1.64,11.49,0.82,2.46,0,0,2.46,0,0,3.28,0,2.46,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,1.61,1.61,0,0,4.83,4.83,0.81,2.42,2.42,0,0.81,2.42,0,2.42,7.25,0.81,3.22,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,2.3,0,0,0.57,1.15,0,0,4.02,4.02,0,9.18,0.57,0,0,0,0,1.72,6.89,0.57,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,14.72,0,0,0.98,2.94,0,0,4.91,0,0,5.89,0,0,0,1.96,0,0,5.89,0,2.94,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,2.94,0
 72-82,0,0,4.91,0,33.38,0,0,3.93,2.94,0,1.96,19.63,0,0,9.82,1.96,0.98,0,0,0,6.87,27.49,0,5.89,0,0,0,0,0.98,0,0,0,0,0,3.93,0.98,0.98,0.98
 84-94,1.06,0,1.06,0,45.67,0,1.06,2.12,7.43,0,1.06,50.98,4.25,0,12.74,4.25,0,0,0,0,1.06,20.18,0,4.25,1.06,1.06,0,0,2.12,0,0,2.12,0,0,8.5,0,0,0
 96-106,0,0,3.28,1.09,86.33,1.09,0,6.56,16.39,1.09,0,65.57,0,0,25.14,2.19,0,0,0,0,10.93,20.76,0,14.21,1.09,3.28,1.09,0,0,0,0,3.28,0,0,25.14,0,1.09,0
108-118,0,0,2.3,0,95.75,0,0.77,1.53,30.64,1.53,0,60.51,0,0,23.74,3.06,0.77,0,0,0,3.83,16.09,0,9.96,0,0.77,0,0,2.3,0,0,1.53,0,0,27.57,0,2.3,0
120,0,0,1.96,0,82.31,1.96,0,0,11.76,0,0,35.28,0,0,15.68,1.96,0,0,0,0,3.92,5.88,0,11.76,0,3.92,1.96,0,0,0,0,5.88,0,0,19.6,0,0,0
