stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,232.93,563.93,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,67.43,18.39,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,89.38,10.51,2.63,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,97.26,134.06,0,0,265.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,107,0,0,81.82,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,10,3,2,0,0,0,21,1,0,0,0,1,0,0,0,2,0,0,164,56,0,0,13,0,0,5,2,0,9,221,0,1,0,0
 24-34,0,0,0,2.46,0,15.6,0,0,3.28,44.33,0.82,0,0,0.82,0,0,0.82,0,9.03,0,4.1,832.35,18.88,0.82,16.42,0,0,1.64,0,1.64,0,9.85,397.29,0,0.82,0,0
 36-46,0,0,0,0.81,0,21.75,0,0.81,0.81,162.75,0,0,0,0.81,0,0,0,0.81,9.67,0,1.61,939.41,8.86,0.81,26.59,0,0,1.61,0,0,0,0,432.64,0.81,0,0,0.81
 48-58,0,0.57,0,2.87,0,69.43,2.3,0.57,2.87,316.74,0,0,4.59,0.57,0,0,0,0.57,14.92,0,2.87,545.69,0.57,0.57,29.84,0,0,1.15,0,0.57,0,0,332.23,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,75.58,0.98,0.98,0,316.05,0.98,0,3.93,0,0,0,0,0,10.8,1.96,0.98,250.29,0,0,29.45,0,0,2.94,0,0,0,0,146.25,0,0,0.98,1.96
 72-82,0,0,0,7.85,0.98,63.81,0.98,0,2.94,387.76,0,0,1.96,0,0,0,0,0.98,24.54,0,0.98,201.24,0,0,67.73,0,0.98,0,0,0,0.98,0,79.51,0,0.98,0.98,0
 84-94,1.06,0,0,0,0,53.1,1.06,0,2.12,223.03,0,0,3.19,0,1.06,1.06,0,6.37,12.74,0,1.06,130.63,0,0,72.22,0,0,1.06,0,0,0,0,60.54,3.19,3.19,0,0
 96-106,0,0,0,10.93,1.09,36.06,1.09,0,3.28,181.41,0,0,1.09,0,0,0,1.09,2.19,14.21,0,1.09,92.89,0,1.09,86.33,0,1.09,4.37,0,0,0,0,36.06,0,1.09,1.09,0
108-118,0,0,0,4.6,0,27.57,0,0,3.06,199.92,0,0,1.53,0,0,0,1.53,3.83,9.96,0.77,2.3,93.45,0.77,0,74.3,0,0.77,0,0,0,0,0,29.11,0.77,0.77,0.77,0
120,0,0,0,5.88,0,35.28,1.96,1.96,1.96,170.5,1.96,0,3.92,0,0,3.92,0,1.96,11.76,0,0,123.47,0,0,74.47,1.96,0,1.96,0,0,0,0,23.52,1.96,0,0,0
