stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,7.89,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,28.32,0,0,12.59,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,3,0,1,4,0,0,0,1,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,11.49,0.82,0,0,0,2.46,0,0,0,0.82,0,0,0,0.82,0,2.46,0.82,0
 36-46,0,0,0,0.81,7.25,0,0,0,0,0,0,2.42,0,0,1.61,0,0.81,0,0,5.64,1.61,0.81,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,5.16,0.57,0,0,0,0.57,0,2.3,0.57,0.57,0,0,0.57,0,0,9.18,0.57,0.57,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,19.63,0,0,3.93,0,0,0,6.87,0,0,0.98,0,3.93,0,0,10.8,0,1.96,0,1.96,0,0,0,0,0,2.94,0,0
 72-82,0,0,0.98,0,21.6,0,0,6.87,0.98,0,0,8.83,0,0.98,0.98,0,12.76,0,0,16.69,1.96,2.94,0,0.98,0,0,1.96,0,0,2.94,0,0
 84-94,0,0,2.12,0,30.8,1.06,0,4.25,0,0,0,10.62,1.06,0,2.12,0,16.99,1.06,1.06,13.81,0,1.06,0,1.06,0,0,1.06,0,0,2.12,1.06,2.12
 96-106,0,0,1.09,0,22.95,1.09,0,5.46,0,0,0,16.39,0,3.28,1.09,0,13.11,0,0,6.56,0,2.19,0,3.28,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,16.09,0,0,3.06,1.53,0,0,7.66,0.77,1.53,0,0,11.49,0.77,0.77,9.96,0.77,7.66,0,2.3,0,0,2.3,0.77,0,0,0,0
120,0,0,0,0,7.84,0,1.96,5.88,0,0,0,5.88,0,1.96,1.96,0,11.76,0,1.96,9.8,0,3.92,0,0,0,0,5.88,0,0,0,0,0
