stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,1739.49,18014.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961.99,0,0,0,0,0,0
  5-6,2102.46,10199.71,6.13,0,0,0,0,0,0,61.3,0,0,0,0,85.81,110.33,18.39,0,373.91,0,0,0,0,0,0
  7-9,649.29,73.6,120.92,0,0,97.26,0,0,0,170.87,0,0,0,0,2181.83,841.19,1001.54,0,15.77,23.66,0,0,0,0,0
 10-12,9.44,31.47,15.73,0,0,213.99,0,0,0,6.29,0,0,0,0,1211.58,670.3,1117.17,0,3.15,3.15,0,6.29,0,6.29,0
 14-21,1,0,0,19,2,26,0,10,2,0,1,0,5,1,331,187,138,0,1,0,13,1,17,325,1
 24-34,0,0,0,0,0,17.24,0,5.75,0,0,0,0,0.82,0,122.31,16.42,0,0,0.82,0,0,0,1.64,13.95,0.82
 36-46,0,0,0,0,0,8.06,0,1.61,0,0,0,0,0.81,0.81,33.84,4.03,0,0,0,0,0,0,0,7.25,0.81
 48-58,0,0,0,0,0,10.33,0,1.15,0,0,0,0,0.57,0,10.9,1.15,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,3.93,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,9.82,0,1.96,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,10.62,0,1.06,0,0,0,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.46,0,1.09,0,0,0,1.09,1.09,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,7.66,0.77,1.53,0,0,0,0,0.77,0,2.3,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
