stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,18.39,422.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,13.14,0,0,0,23.66,0,0,0,0,5.26,0,0,0,0,157.72,0,0,0,42.06,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,44.06,0,0,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,9,1,0,5,0,0,0,1,0,0,6,0,2,30,1,0,0,1,1,6,0,4,11,0,0
 24-34,0,0,0,0.82,0.82,0,0,4.93,0,0,0,0,0,0,4.93,0,0.82,27.91,0,0,0,0,0,0,0,1.64,6.57,0,0.82
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0.81,0,0,0,0.81,0,0.81,18.53,0,0.81,0,0,0,0,0.81,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,3.44,0,0,1.15,0.57,0,0,3.44,0,0.57,13.77,0,0,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,4.91,0.98,0,1.96,0.98,0,0.98,0.98,0,0,31.41,0,0,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,1.96,0,0,16.69,0,0.98,0,0,0,0.98,5.89,0.98,0.98,29.45,0,0.98,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,0,0,0,0,8.5,0,0,3.19,0,0,1.06,0,0,2.12,9.56,0,1.06,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,5.46,0,0,4.37,0,0,1.09,0,0,0,2.19,1.09,0,17.49,0,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,0,0,4.6,0.77,1.53,5.36,0,0,0,0.77,0,0.77,3.06,0,0.77,10.72,0,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,15.68,0,0,0,0,0,0,0,0,1.96,0,0
