stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,28.92,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,34.62,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,19,0,0,0,0,3,2,3,0,1,0
 24-34,0,0,0.82,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0,1.64,0,0.82,8.21,0.82,0,0,0.82,0,1.64,3.28,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,4.83,0,0,0,0,0,1.61,0.81,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,0,0,0,0,0,0.57,0.57,1.72,0,1.72,1.72,0,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,1.06,1.06,0,0,1.06,0,0,0,7.43,1.06,2.12,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,1.09,1.09,2.19,0,1.09,1.09,2.19,0,0,0,0,0,7.65,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,5.36,0,1.53,1.53,0,0.77,0,3.06,0,0,0.77,0,0.77,0
120,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,9.8,0,0,1.96,0,3.92,0,3.92,0,0,1.96,0,0,0
