stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,18.39,0,0,0,0,0,0
  7-9,2.63,0,15.77,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,110.41,5.26,0,0,36.8,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,15.73,0,0,50.35,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,20,2,1,0,0,1,0,0,0,0,0,0,2,0,0,3,22,2,0,0,1,0,2,0,4,11,1,0,1
 24-34,0,0,0,4.1,0.82,0.82,0.82,0,0.82,0,0,1.64,0,0,0,3.28,0,0,7.39,55.82,1.64,1.64,0.82,0,0,0.82,0,0.82,12.31,0.82,0,0
 36-46,0,0,0,1.61,0,4.03,0,0,4.83,0,0,0,0,0.81,0,6.45,0.81,0,1.61,89.43,0,4.03,0,0,0,2.42,0,0,20.95,0.81,0,0
 48-58,0,0,0,1.15,0,1.72,0,0.57,5.74,0,0,0,0,0,0,3.44,0,0,0.57,32.13,0,1.15,0,0,0,1.15,0,0,10.33,1.15,0,0
 60-70,0,0,0,1.96,0,3.93,0,0,0.98,0,0.98,0,0,0,0,2.94,0,0,0.98,36.32,0,0.98,0,0,0,1.96,0,0,9.82,0,0,0
 72-82,0,0,0,2.94,0,4.91,0,1.96,5.89,0,0,0,0,0,0,2.94,0,0.98,0,38.28,0.98,1.96,0.98,0,0,3.93,0,0,7.85,0,0,0
 84-94,0,0,0,2.12,0,6.37,0,1.06,2.12,0,0,0,0,0,0,2.12,0,0,0,25.49,0,1.06,0,0,0,1.06,0,0,2.12,0,1.06,0
 96-106,0,0,0,6.56,0,6.56,2.19,1.09,2.19,1.09,0,1.09,0,0,0,6.56,0,0,1.09,24.04,0,2.19,2.19,0,0,4.37,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,2.3,0,0,1.53,0,0,0,0.77,0,0,1.53,0,0,0,18.38,0,0.77,2.3,0,0.77,0.77,0,0,1.53,1.53,0,0
120,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,9.8,0,0,0,0,0,1.96,0,0,3.92,0,0,0
