stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,13.13,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,174.84,0,0.82,0,0,1.64,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,466.48,0.81,0,1.61,0,0,0,0.81,0,0,0,0.81,0,4.03,0,0,0.81,656.62,0,0,0.81,0,1.61,0,0,11.28,0,0,0,0,0
 48-58,0,0,0,0,5.74,0,0,725.86,1.15,2.3,12.05,0,0,0,0,0,0.57,0.57,0,0,8.03,0,0.57,2.3,837.18,0,0,1.15,0.57,1.15,0,0.57,22.95,0,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,483.89,0,0,6.87,0,0.98,0,1.96,0,0,0,0,0,10.8,0,0,0,837.24,0,0,0.98,0,1.96,0,0,11.78,0,0,1.96,0,2.94
 72-82,0,0,0,0,10.8,1.96,0,281.74,0,1.96,12.76,0,0,0.98,0,0,0.98,0.98,0,0.98,23.56,0,0.98,1.96,651.82,0,0,0.98,0,0.98,0,0.98,3.93,0,0,1.96,0,2.94
 84-94,0,0,1.06,0,15.93,2.12,0,270.82,0,1.06,14.87,0,0,0,1.06,0,2.12,1.06,0,0,19.12,0,3.19,1.06,396.14,1.06,0,1.06,0,3.19,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,0,0,12.02,8.74,0,204.36,2.19,1.09,20.76,0,0,2.19,1.09,0,0,0,0,0,7.65,1.09,2.19,4.37,354.08,0,0,0,0,1.09,0,0,2.19,0,0,0,2.19,0
108-118,0,0,0,0,6.89,4.6,0.77,170.04,1.53,0,5.36,0.77,0,0,0.77,0,0,0,0,0,12.26,0.77,1.53,0.77,432,0.77,0.77,0,0,1.53,0,0,2.3,0,0,1.53,0,0
120,0,0,0,0,11.76,0,0,150.9,0,0,13.72,0,0,0,0,1.96,0,0,1.96,0,7.84,0,1.96,0,411.55,0,0,0,0,5.88,1.96,0,1.96,0,1.96,0,0,0
