stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,10.51,0,7.89,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,28.32,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,9,0,0,0,0,1,3
 24-34,0,0,0,0,0,0.82,0.82,0,0.82,9.03,0,0,0,0.82,0,2.46
 36-46,0,0,0,0.81,0,0,0,1.61,0,6.45,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,2.87,0.57,4.02,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,1.53,0,0,0,0,0,1.53,0,0
