stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,250.38,4625.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1857.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,18.4,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,254.99,15.77,0,0,70.98,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,47.2,0,0,69.23,0,6.29,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,3,84,11,16,0,1,0,1,2,0,2,2,2,1,0,1,11,34,0,0,26,74,29,0,0,1,0,16,0,5,3,0,5,20,0,0,23,0,26
 24-34,0,0,0.82,50.07,3.28,46.79,0,2.46,0.82,3.28,2.46,0,6.57,8.21,1.64,2.46,1.64,3.28,36.12,97.68,0,0,52.53,112.46,4.1,0,4.1,0,0,62.39,0,0,5.75,0,4.1,18.88,0,0,96.86,0,88.65
 36-46,0,0,0,16.92,0.81,41.09,0.81,5.64,8.06,4.03,1.61,0,0.81,6.45,0,4.03,3.22,0,27.39,79.76,0,1.61,27.39,47.53,4.03,0.81,0,0,0,53.17,0,0.81,0,0,0,7.25,0,0,39.48,0,59.62
 48-58,0,0,0,12.62,0,55.66,0.57,5.74,11.48,14.92,0,0.57,7.46,6.89,0.57,8.03,1.15,0.57,33.28,107.3,0,1.72,23.53,35,1.15,0,1.72,0,0,31.56,0,0,2.3,0,0,9.18,0,0.57,32.71,0,95.25
 60-70,0,0,0,16.69,0,68.71,0,11.78,4.91,55.95,0.98,0,2.94,15.7,1.96,19.63,0,0,13.74,166.86,0.98,6.87,18.65,26.5,0.98,0,3.93,0,0.98,34.35,0,0,0,0,0,7.85,0,1.96,25.52,2.94,68.71
 72-82,0,0,0,20.61,0.98,49.08,1.96,5.89,5.89,59.88,5.89,0.98,3.93,18.65,3.93,20.61,1.96,0.98,19.63,211.06,0.98,4.91,16.69,30.43,0.98,0,6.87,0,3.93,40.25,0,0,0.98,0,0,4.91,1.96,4.91,58.9,4.91,59.88
 84-94,0,0,0,37.17,2.12,79.65,2.12,18.05,3.19,39.3,6.37,0,0,30.8,4.25,27.61,1.06,0,19.12,110.45,1.06,8.5,10.62,18.05,2.12,2.12,6.37,0,1.06,135.94,0,0,2.12,0,0,2.12,3.19,5.31,38.23,5.31,40.36
 96-106,0,0,0,39.34,1.09,72.13,1.09,8.74,4.37,46.99,5.46,0,6.56,24.04,5.46,21.86,2.19,1.09,17.49,124.58,0,4.37,4.37,18.58,1.09,2.19,5.46,0,4.37,88.52,0,0,2.19,0,0,3.28,2.19,4.37,36.06,5.46,48.09
108-118,0,0,0,32.94,0.77,57.45,0,13.79,6.89,42.13,6.13,0,1.53,16.85,7.66,26.04,0.77,3.06,19.92,83.49,0.77,4.6,6.13,19.92,3.06,2.3,2.3,0,3.83,67.4,0,0,1.53,0.77,0,2.3,1.53,0.77,32.17,3.83,33.7
120,0,0,1.96,60.75,1.96,25.48,1.96,11.76,5.88,39.2,7.84,0,1.96,31.36,1.96,13.72,1.96,1.96,9.8,52.91,0,5.88,5.88,13.72,3.92,0,1.96,0,1.96,76.43,0,0,1.96,0,0,1.96,3.92,0,35.28,5.88,19.6
