stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,4,0,2,47,0,0,1,0,0,1,1,0,1,18,0,0
 24-34,0,2.46,1.64,10.67,0,0,1.64,0,0,0.82,0,0,0,0,0,5.75,0,3.28,97.68,0,0.82,0,0,0,6.57,0,0,0,16.42,0.82,0
 36-46,0,0,0,45.92,0.81,0,3.22,0,0,0,0,0,1.61,0,0,8.06,0,4.03,107.96,0,0.81,0.81,0,0,1.61,0.81,0,0,34.64,0,0.81
 48-58,0,0.57,0,33.28,0,0,1.15,0.57,0,0,0,0,0,0,0,7.46,0,0.57,29.84,0,0.57,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,1.96,0,16.69,0,0,3.93,0,0,0,0,0,0,0,0.98,2.94,0,0,18.65,0,0,0,0,0,0.98,0,0.98,0,2.94,0.98,0
 72-82,0,0.98,0,10.8,0,0,1.96,0,0,0,0,0,0,0,1.96,9.82,0.98,0,28.47,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,2.12,0,11.68,0,1.06,1.06,0,0,0,0,0,0,0,0,5.31,0,0,21.24,1.06,0,0,0,0,2.12,0,1.06,0,3.19,5.31,0
 96-106,0,0,0,7.65,0,0,3.28,2.19,0,0,0,0,0,1.09,0,4.37,1.09,1.09,12.02,0,2.19,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,1.53,0,6.89,0,0,3.06,0.77,0,0,0.77,0.77,1.53,0,1.53,5.36,0.77,0.77,19.92,0,0,0.77,0,0.77,1.53,0,1.53,0,0,3.06,0
120,0,0,1.96,9.8,0,1.96,3.92,0,0,0,0,0,0,0,1.96,3.92,0,0,17.64,1.96,0,0,0,0,0,0,0,0,0,0,0
