stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,4,0,0
 24-34,0,0,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0,1.64,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,8.06,0,0.81,0,0,0.81,0,0.81,0,3.22,0,0.81
 48-58,0,0,0,3.44,0,0.57,0,0.57,0,0,0.57,0.57,1.15,0,0,5.74,0.57,0,0,0,0.57,0,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,11.78,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,0,0.98,1.96,0,0,0,0,0,0,0,18.65,0.98,0,0,0,2.94,0,0,0,0.98,0.98,0
 84-94,0,1.06,0,6.37,0,0,0,1.06,0,0,0,0,3.19,1.06,0,3.19,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,0,0,1.09,1.09,0,0,0,0,0,1.09,6.56,0,0,1.09,0,3.28,0,0,0,1.09,1.09,0
108-118,0,0,1.53,3.06,0,0,0,2.3,0.77,0,0,0,1.53,0,1.53,4.6,1.53,0,1.53,0,1.53,0,0,0,0,0.77,0.77
120,0,0,3.92,1.96,0,1.96,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,11.76,0,0,0,1.96,0,1.96
