stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,1818.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,2090.21,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,134.85,0,0,0,24.52,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,160.35,0,0,21.03,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,801.76,7.89,0,0,155.09,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,1,4,0,0,1,0,0,1,0,0,0,0,0,3,0,0,65,0,2,0,2,2,0,8,0,0,5,18,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,8.21,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,112.46,0,4.1,1.64,0,0.82,0,0,0,0,0,15.6,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,16.92,0,0,1.61,0,0,0,0,0,0,0,0,5.64,0,0.81,228,0,2.42,1.61,0,0,0,0,0,0,0,16.11,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,33.85,0,0,7.46,0,0,0,0,0,0,0,0,8.61,0,1.72,162.96,0.57,1.15,0,0,1.72,0,0,0,0,0,12.05,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,11.78,0,0.98,2.94,0,0,0,0.98,0,0.98,0,0,4.91,0,0,39.26,0,0,0.98,0,5.89,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,0.98,27.49,0,0.98,8.83,0.98,0,1.96,0,0,0,0,0.98,12.76,0.98,2.94,41.23,0,0.98,1.96,0,1.96,0,0,0,0,0,6.87,0,1.96,0.98,0,0
 84-94,0,0,0,0,3.19,5.31,15.93,0,0,2.12,0,1.06,2.12,2.12,0,1.06,0,0,12.74,1.06,2.12,19.12,1.06,0,0,0,27.61,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,1.09,17.49,1.09,2.19,5.46,0,0,1.09,0,0,0,1.09,0,7.65,0,0,28.41,1.09,2.19,0,0,8.74,0,0,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,7.66,3.06,12.26,2.3,0.77,0,0.77,0,1.53,3.83,0,2.3,0,0,7.66,1.53,1.53,34.47,3.06,3.06,2.3,0,29.11,0,0,0,0.77,0,0,0.77,0.77,3.83,0.77,1.53
120,0,0,0,0,3.92,1.96,13.72,0,0,9.8,1.96,0,0,0,1.96,0,0,0,5.88,0,0,25.48,0,1.96,0,0,9.8,0,0,1.96,0,0,0,0,0,1.96,0,0
