stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,5,5,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,6,25,0,0,1,0,0,0,0,13,1,3,16,15,0,0,0,1
 24-34,0,0,3.28,0,12.31,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,8.21,0,0,1.64,64.85,0,1.64,1.64,0,0,2.46,0,0,0,0,1.64,15.6,0,0.82,0,0
 36-46,0,0,0.81,0.81,15.31,0,0,0,1.61,0,0,0.81,0.81,0,0,0,0,1.61,4.83,0,0,3.22,54.79,0,1.61,0,0,0,0.81,0.81,0,0,0.81,0,18.53,0,0.81,0,0
 48-58,0,0,1.15,0,14.35,0,1.72,1.15,7.46,0,0,0,0,0,0,0,0,1.15,15.49,0,0,3.44,59.68,0,1.72,0.57,0,1.15,1.15,0,0,0.57,0.57,0,13.2,0,1.15,0,0
 60-70,0,0,1.96,0,19.63,0,0,0,3.93,0.98,0,0,0,0,1.96,0.98,0,0,11.78,0,0,1.96,60.85,0,3.93,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,2.94,0,0,24.54,0,0.98,0,9.82,0,0,0,0.98,0,0,0,0,0,23.56,0,0.98,4.91,68.72,0,4.91,1.96,0,0,1.96,0,0,0,0,0,9.82,0,0.98,0.98,0
 84-94,0,1.06,1.06,3.19,14.87,1.06,0,2.12,3.19,0,0,0,3.19,1.06,2.12,0,0,0,12.74,1.06,0,2.12,35.05,1.06,2.12,1.06,0,0,6.37,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,12.02,1.09,1.09,0,6.56,1.09,0,0,2.19,1.09,0,1.09,0,0,10.93,0,0,2.19,31.69,0,5.46,0,0,1.09,4.37,0,0,0,0,0,2.19,0,2.19,0,0
108-118,0,0,5.36,0,9.96,0.77,0.77,0,6.13,1.53,0,0,0,0,1.53,0,1.53,0,13.02,0,0.77,4.6,25.28,0,2.3,1.53,0,0.77,3.83,0,0,0,1.53,0,0,0.77,1.53,0,0.77
120,0,0,3.92,0,5.88,0,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,11.76,0,0,0,52.91,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,3.92,0,0
