stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,3,54,0,0,0,0,0,0,1,15,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0,1.64,0,0,8.21,0,0,0,0,35.3,0,5.75,152.68,0,0,0,0,0,0,0.82,40.22,0,0,0.82,0,0
 36-46,0,0,0,0,0,4.03,0,0,0.81,4.03,0,0,0.81,0.81,0,0,0,46.73,0,3.22,277.15,0,2.42,0,0,0,0,0,62.84,0,0,4.03,0,0
 48-58,0,0,0,1.15,0.57,12.05,0,0,0,10.9,0,0,0,0,0,0,0.57,53.94,0.57,0.57,367.81,0,2.3,0,0,2.3,0,0,49.92,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,49.08,0,0,2.94,49.08,0.98,0,0,0,0,0.98,0,82.45,0.98,0.98,875.52,0,3.93,0,0,0,0,0,101.1,0,1.96,3.93,1.96,0
 72-82,0,0,2.94,3.93,0,101.11,0,0,0,80.5,0.98,0,0.98,0,0,0.98,0,114.85,3.93,0.98,1055.29,0,3.93,0,1.96,2.94,0,0,75.59,0,0,11.78,7.85,0.98
 84-94,0,0,2.12,5.31,1.06,94.52,0,1.06,0,62.66,2.12,0,2.12,1.06,0,0,1.06,86.03,4.25,0,635.1,0,1.06,0,0,2.12,0,0,43.54,0,2.12,7.43,10.62,1.06
 96-106,0,0,4.37,8.74,0,71.04,0,0,0,59.01,3.28,0,0,1.09,0,0,0,109.28,2.19,4.37,536.59,2.19,2.19,0,1.09,2.19,1.09,0,20.76,1.09,2.19,10.93,19.67,2.19
108-118,0,0,0.77,6.89,1.53,68.17,0.77,0.77,0,51.32,2.3,0,1.53,0,1.53,0.77,0,98.04,1.53,0,713.11,0,0.77,0,0,0.77,0,0,18.38,0,0.77,6.13,16.09,0
120,0,0,0,7.84,0,60.75,0,3.92,1.96,31.36,0,1.96,0,0,0,0,0,64.67,0,0,689.84,0,1.96,0,0,5.88,0,0,13.72,0,0,5.88,15.68,0
