stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,43,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,42,0,0,0,177,1,0,1,1,0,4,0,0,0,0,8,0,0,0,0,0
 24-34,0,0,29.55,0.82,0,9.85,0,18.06,0.82,1.64,0,0,0.82,0,1.64,0,0,0.82,0,198.65,0,0,4.1,687.88,0.82,0,0,0,0,11.49,0,0,0.82,0.82,23.8,0,0,0,0,0
 36-46,0,0,4.83,0,0,12.09,0,20.14,0,9.67,0,0,0,0,0.81,0.81,0.81,0,0,237.67,0,0,1.61,834.67,0.81,1.61,6.45,0,0,4.83,0,0,0,0.81,22.56,0,0,0.81,0,0
 48-58,0,0,6.89,0,0,46.48,0.57,17.79,0.57,15.49,0,0,0.57,0.57,0,0.57,0.57,0,1.15,355.76,0.57,1.15,6.89,800.46,0,2.87,7.46,0,0,11.48,0.57,0,0,0,29.26,0,0,2.3,0,3.44
 60-70,0,0,3.93,0.98,0,37.3,0,16.69,1.96,18.65,0,0.98,0,0,0,0,1.96,0,0.98,431.87,0,0,0,663.51,0,0.98,6.87,0,0,5.89,0,0.98,0,0,10.8,0,0,0.98,0,3.93
 72-82,0,0,12.76,1.96,0,97.18,0,10.8,1.96,34.36,1.96,0,0,1.96,0,0.98,6.87,1.96,0,615.5,0,3.93,2.94,620.41,0.98,0.98,6.87,0,0,4.91,0,0,0,0,6.87,0,3.93,2.94,0.98,1.96
 84-94,0,0,18.05,1.06,0,111.51,1.06,22.3,0,29.74,2.12,0,0,1.06,1.06,1.06,2.12,0,1.06,461.99,1.06,4.25,1.06,369.59,1.06,1.06,24.43,0,0,8.5,0,0,0,0,3.19,1.06,2.12,1.06,0,2.12
 96-106,0,0,30.6,4.37,1.09,108.19,1.09,13.11,1.09,30.6,2.19,0,1.09,1.09,0,2.19,6.56,1.09,1.09,363.92,2.19,5.46,6.56,306,0,3.28,17.49,0,1.09,5.46,0,1.09,0,0,2.19,1.09,1.09,0,0,2.19
108-118,0,0,6.13,1.53,0,35.23,0,13.02,0,13.79,0.77,0,0,1.53,1.53,1.53,0.77,0.77,0,408.26,0,2.3,0.77,464.17,0,2.3,16.85,0,0.77,4.6,0,0,0,0,0,1.53,0,1.53,0,0.77
120,1.96,0,15.68,1.96,1.96,54.87,0,9.8,0,19.6,0,0,0,0,1.96,0,3.92,0,0,319.45,0,1.96,0,601.65,0,3.92,15.68,0,0,3.92,0,0,0,0,3.92,0,0,5.88,0,0
