stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,6,0,3,97,3,0,1,1,0,0,0,5,0,0,8,33,0,0,1,0,0
 24-34,0,0,0,0,7.39,0,0,22.16,0,0.82,0,9.85,0,0,3.28,0.82,0,0,0,0,0,26.27,0.82,12.31,274.99,1.64,6.57,2.46,0,0,2.46,0,0,0,0.82,1.64,60.74,0,0,4.93,0,1.64
 36-46,0,0,0,0,3.22,0,0,57.2,0.81,0.81,0.81,9.67,0,0,0,1.61,0,0,0.81,0,1.61,24.17,1.61,8.86,250.56,1.61,8.86,0.81,0,0,1.61,0,0,0,0,0,87.82,0,0,3.22,0,0.81
 48-58,0,0,0,0,2.87,1.15,0,91.81,0,1.15,0,20.08,0,0.57,0.57,0,0,0.57,1.15,0,1.15,42.46,1.15,6.89,214.03,0.57,8.61,2.3,0,0,1.15,0,0,1.15,0,0,57.95,0,0,2.87,0,1.15
 60-70,0,0,0.98,0,3.93,0,0,116.8,0,1.96,3.93,22.58,0,0,0,0.98,0,0,0,0,0.98,53.98,0,0,256.18,0.98,8.83,2.94,0,0.98,0.98,0,0,0,0,0,39.26,0,0,3.93,0,0.98
 72-82,0,0,0,0,0,0.98,0,107.98,0,0,2.94,24.54,0,0,0,0.98,0.98,0.98,0,0.98,0,84.42,0,3.93,234.62,0,17.67,0,0,0,0.98,0,0,0,0,0,17.67,1.96,0.98,8.83,0.98,4.91
 84-94,0,0,1.06,0,9.56,3.19,0,89.21,0,1.06,1.06,21.24,0,0,1.06,2.12,0,1.06,0,1.06,0,42.48,4.25,6.37,115.76,1.06,9.56,0,0,0,3.19,0,0,2.12,0,0,22.3,1.06,2.12,4.25,3.19,1.06
 96-106,0,0,0,0,1.09,1.09,0,53.55,0,0,1.09,22.95,2.19,0,0,2.19,0,3.28,1.09,0,1.09,43.71,2.19,1.09,96.17,0,21.86,1.09,0,0,5.46,0,0,1.09,0,0,4.37,0,0,8.74,1.09,3.28
108-118,0,0,0.77,0,6.89,0,0.77,43.66,0.77,3.06,3.06,19.15,2.3,0,0.77,2.3,0,0.77,1.53,1.53,2.3,19.92,0.77,2.3,121.02,0.77,11.49,0.77,0,0,1.53,0,0,0.77,0,0,5.36,0.77,0,2.3,0,0.77
120,0,0,1.96,0,11.76,1.96,0,58.79,0,0,0,23.52,1.96,0,0,7.84,0,0,0,1.96,0,39.2,0,0,178.34,0,15.68,3.92,0,1.96,0,0,0,0,0,0,5.88,3.92,0,5.88,0,1.96
