stage,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,1,0,5,0,0,0
 24-34,0.82,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,20.52,0,0,0,0.82,0.82,5.75,1.64,0,0
 36-46,0,10.47,0,0.81,0,0,0,0,0,0.81,0,1.61,0,0.81,38.67,0.81,1.61,0,0.81,0,4.03,0.81,0,0.81
 48-58,0,13.2,0,0.57,0.57,0.57,0,0,0,0,0,2.87,0,0,37.3,0,0.57,0,0.57,0,4.59,0,0,0
 60-70,0,19.63,0,1.96,0,0,0,0,0,0,0,5.89,0,0,50.06,0,0,0,0,0,0,0,0,0
 72-82,0.98,20.61,0,5.89,0,0,0,0,0,0,0.98,3.93,0,0,34.36,0,0,0.98,0,0,4.91,0,0,0
 84-94,1.06,10.62,1.06,1.06,0,0,0,1.06,0,0,0,4.25,0,0,20.18,0,0,0,0,1.06,1.06,1.06,2.12,0
 96-106,1.09,5.46,0,0,0,0,0,0,0,0,0,3.28,0,0,17.49,0,0,0,0,1.09,1.09,2.19,0,1.09
108-118,1.53,3.83,0,1.53,0.77,0.77,0,0,0,0,0,3.83,2.3,0,9.19,0.77,0,0,0.77,0,0,2.3,0,0
120,0,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,7.84,0,0,0,0,0,0,0,0,1.96
