stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,gut,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,2.63,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,15.73,0,0,0
 14-21,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,15,0,0,1
 24-34,0,0,0,8.21,0,0.82,0,0,12.31,0,0,0.82,0,0,4.93,0,0,0,0,42.68,0,0,0.82
 36-46,0,0,0,2.42,0.81,0,0,0,1.61,0,0,0,0.81,0,4.83,0,0,0.81,0,29,0.81,0,0
 48-58,0,0,0,1.72,0.57,0,0,0,1.15,0,0,1.15,0.57,0.57,5.74,0,0,0,0,24.67,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,0,1.96,0.98,0,0,0.98,0,3.93,0,0,0,0,28.46,0,0,0
 72-82,0,0,0,4.91,0,0,0.98,0,2.94,0.98,0,0,1.96,0,1.96,0,0,0.98,0,66.75,0,0,0.98
 84-94,0,0,0,7.43,3.19,2.12,0,2.12,6.37,0,0,0,1.06,0,1.06,0,0,1.06,0,177.36,0,0,0
 96-106,0,0,0,8.74,2.19,6.56,0,0,4.37,0,0,1.09,2.19,0,8.74,0,1.09,0,0,194.53,0,1.09,0
108-118,0,0,0,12.26,0,9.19,0,0,6.13,0,0.77,0.77,1.53,0,2.3,0,0,1.53,0,162.38,0.77,0.77,0
120,0,0,0,15.68,0,3.92,0,0,0,0,0,1.96,1.96,0,7.84,0,0,0,0,105.83,0,0,0
