stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,105.42,1660.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,6.13,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,44.69,0,18.4,0,89.38,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,15.73,0,56.65,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,2,0,0,15,7,10,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,1.64,0,0,0,0.82,0,0.82,0.82,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0.77,2.3,0.77,1.53,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96
