stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0.81,3.22,0.81,1.61,0,0,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,2.3,0,0.57,1.72,0,1.15,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,0,2.94,0,1.96,5.89,0,0,0,0,0
 72-82,0,3.93,0,0,0,0.98,0.98,0,0.98,0,0.98,6.87,0,0,2.94,1.96,0.98,0,0,0
 84-94,0,2.12,0,1.06,0,1.06,0,0,3.19,1.06,0,0,0,3.19,2.12,0,0,1.06,2.12,1.06
 96-106,0,2.19,0,0,1.09,2.19,1.09,1.09,0,1.09,0,5.46,0,1.09,4.37,0,1.09,0,2.19,0
108-118,0,2.3,1.53,0,0,0.77,0,0,1.53,0,1.53,3.83,0.77,0.77,1.53,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,0,0
